Name,Location,Category,Latitude,Longitude,Founded/Opened,Sufi Saint,Image 1,Image 2,Events,Description
Data Darbar,"Lahore, Punjab",Muslim Shrine,31.57803,74.307,11th Century,Hazrat Data Ganj Bakhsh (Ali Hujwiri),https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Data_Durbar_as_more_then_one_decade_before_by_Usman_Ghani.jpg/500px-Data_Durbar_as_more_then_one_decade_before_by_Usman_Ghani.jpg,https://i.dawn.com/primary/2018/10/5bd60e6a0032d.jpg,Qawwali on Thursdays between Zuhr and Asr,"## Overview

Data Darbar, located in Lahore, is far more than a shrine. It is one of the city’s most powerful spiritual and cultural centers, a place where devotion, memory, charity, and music come together in everyday life. Built around the tomb of the 11th-century Sufi saint Hazrat Ali ibn Usman al-Hujwiri, more commonly known as Data Ganj Bakhsh, the shrine has for centuries drawn pilgrims, seekers, and ordinary visitors in search of prayer, comfort, blessing, and a sense of closeness to God. For many in Lahore and beyond, Data Darbar is inseparable from the religious identity of the city itself.

## Historical Background

Ali Hujwiri occupies a foundational place in the history of Islam in South Asia. A scholar, mystic, and teacher, he traveled widely before settling in Lahore, where his teachings helped shape the development of Sufi thought in the region. He is especially remembered for writing Kashf al-Mahjub, one of the earliest and most influential Persian works on Sufism. Through both his writing and his example, he came to be revered not only as a saintly figure but also as a major intellectual presence whose influence extended far beyond his own lifetime.

Over time, the saint’s burial place became one of the most important shrines in Pakistan. Data Darbar grew into a vast devotional complex and emerged as a major center of pilgrimage, visited by people from every social background.

## Religious Importance

The religious importance of Data Darbar lies not only in the historical stature of Data Ganj Bakhsh, but also in the kind of Islamic life the shrine represents. It embodies a devotional tradition centered on remembrance of God, reverence for saints, compassion for others, and the belief that holiness must be lived through service. For many devotees, the saint is not simply a figure of the past. His presence is still felt as spiritually alive, and the shrine is approached as a place where divine mercy and blessing can still be encountered.

One of the most striking features of Data Darbar is its culture of public care. Like many major Sufi shrines, it is associated with langar, the free distribution of food to visitors and the needy. This practice reflects a core Sufi ethic: that love of God must be expressed through generosity and service to humanity. As a result, the shrine functions not only as a sacred site but also as a social refuge, a place where people come not just to worship, but also to find dignity, relief, and belonging.

The atmosphere of Data Darbar is also shaped by ritual and sound. Prayer, recitation, qawwali, and festival gatherings all contribute to the shrine’s distinct spiritual energy. On Thursdays and especially during the annual Urs, which commemorates the death of the saint as a union with the divine, the shrine becomes a site of extraordinary devotion and emotion. Crowds gather for prayer, music, remembrance, and celebration, transforming the space into a vivid expression of living Sufi culture.

## Modern Challenges

The history of Data Darbar also reflects the tensions of modern Pakistan. The shrine has been the target of extremist violence, most notably in the devastating 2010 bombing that killed and injured many worshippers. That attack was not just an assault on a physical site, but on the plural, popular, and devotional religious world that shrines like Data Darbar represent. Yet the shrine endured, and pilgrims continued to return. Its continued vitality stands as a testament to the resilience of Sufi devotion and to the refusal of ordinary people to let fear erase sacred community.

Today, Data Darbar remains one of the most prominent and heavily visited shrines in Pakistan. It is both a historic monument and a living center of faith, charity, and public culture. Administratively prominent and socially central, it continues to attract vast numbers of devotees each year. Its present standing reflects both its deep historical roots and its continuing relevance in contemporary religious life.

What makes Data Darbar so powerful is that it brings together many dimensions of human experience in one place. It is solemn yet alive, ancient yet immediate, deeply personal yet profoundly communal. People come there to pray for healing, to give thanks, to seek intercession, to hear qawwali, to feed others, or simply to sit in the presence of something larger than themselves. In that sense, Data Darbar is not only the resting place of a great saint. It is one of the clearest expressions of Lahore’s spiritual heart."
Eidgah Sharif,"Eidgah Sharif, Sanghar (Duthro Sharif), Sindh",Muslim Shrine,33.628145,73.055823,18th century,Pir Abdul-ul-karim,https://upload.wikimedia.org/wikipedia/commons/4/49/Eid_gah_shrine.jpg,,Annual urs,
Garh Maharaja (Shorkot),"Garh Maharaja (Shorkot), Jhang, Punjab",Muslim Shrine,30.8169,71.8651,1691,Sultan Bahoo,https://sultan-bahoo.com/wp-content/uploads/2021/06/WhatsApp-Image-2021-06-14-at-5.20.38-PM.jpeg,,Annual urs,
Golra Sharif,"Golra Sharif, Islamabad, Islamabad Capital Territory",Muslim Shrine,33.691377,72.97507,1937,Pir Meher Ali Shah,https://upload.wikimedia.org/wikipedia/commons/0/0c/Mausoleum_of_Meher_Ali_Shah_by_Balochlens.jpg,,Annual urs,
Gorakhnath (Goraknath) Temple,"Gor Khatri area, Peshawar, Khyber Pakhtunkhwa, Pakistan",Hindu Temple,34.008194,71.580639,1851,,,,,
Gurdas Ram Mandir,"Radhan Town, Tehsil Mehar, Dadu District, Sindh, Pakistan",Hindu Temple,27.1742,67.9511,,,,,,
Gurdwara Babay De Ber,"Sialkot, Punjab, Pakistan",Sikh Gurdwara,32.4811,74.5487,,,,,,
Gurdwara Babay Nanki,"Lahore, Punjab, Pakistan",Sikh Gurdwara,31.4438,74.472,,,,,,
Gurdwara Balila Sahib (Bal Lila Sahib),"Nankana Sahib, Punjab, Pakistan",Sikh Gurdwara,31.4439,73.6986,,,,,,
Gurdwara Bhai Beba Singh,"Peshawar, Khyber Pakhtunkhwa, Pakistan",Sikh Gurdwara,34.0124,71.5784,,,,,,
Gurdwara Bhai Joga Singh,"Peshawar, KPK, Pakistan",Sikh Gurdwara,34.001941,71.563077,,Bhai Joga Singh,https://www.sikhiwiki.org/images/f/f0/Jogasingh_aw.jpg,,,
Gurdwara Darbar Sahib Kartarpur,"Kartarpur, Shakargarh Tehsil, Narowal District, Punjab, Pakistan",Sikh Gurdwara,32.08735,75.01658,1539,Guru Nanak,https://upload.wikimedia.org/wikipedia/commons/6/66/Gurdwara_Darbar_Sahib_Kartarpur_04.jpg,,,
Gurdwara Dash Mesh Pita,"Sukkur, Sindh, Pakistan",Sikh Gurdwara,27.697778,68.860833,,,,,,
Gurdwara Dera Sahib,"Lahore, Punjab",Sikh Gurdwara,31.3523,74,1606,Guru Arjan Dev,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c1/Gurdwara_Dera_Sahib_Lahore.jpg/330px-Gurdwara_Dera_Sahib_Lahore.jpg,,,
Gurdwara Guru Ram Das Ji,"Lahore, Punjab, Pakistan",Sikh Gurdwara,31.585,74.321,,,,,,
Gurdwara Malji Sahib,"Nankana Sahib, Punjab, Pakistan",Sikh Gurdwara,31.4564,73.7139,,,,,,
Gurdwara Panja Sahib,"Hasan Abdal, Punjab, Pakistan",Sikh Gurdwara,33.4915,72.4123,1521,Guru Nanak,https://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/PanjaSahibHasanAbdal.jpg/330px-PanjaSahibHasanAbdal.jpg,,,
Gurdwara Panjvi Chati Patshahi,"Nankana Sahib, Punjab, Pakistan",Sikh Gurdwara,31.4507,73.6985,,,,,,
Gurdwara Patti Sahib,"Nankana Sahib, Punjab, Pakistan",Sikh Gurdwara,31.4507,73.6985,,,,,,
Gurdwara Rori Sahib,"Eminabad, Punjab, Pakistan",Sikh Gurdwara,32.047458,74.248917,,Guru Nanak and Bhai Mardana,https://dvncorestorageprod.blob.core.windows.net/files/page/166/Image/Rori%20Sahib_20240830070623556.jpg,,,
Gurdwara Sach Khand Sahib,"Shikarpur, Sindh, Pakistan",Sikh Gurdwara,27.9573,68.6347,,,,,,
Gurdwara Sacha Sauda,"Farooqabad (formerly Chuharkana), Punjab, Pakistan",Sikh Gurdwara,31.74913889,73.79673333,,,,,,
Gurdwara Shaheed Bhai Taru Singh,"Lahore, Punjab",Sikh Gurdwara,31.578684,74.331944,1745,Bhai Taru,https://www.discoversikhism.com/images/gurdwara/gurdwara_sri_shaheed_ganj_bhai_taru/gurdwara_sri_shaheed_ganj_bhai_taru1.jpg,,,
Gurdwara Shaheed Ganj Singh Singhnian,"Lahore, Punjab, Pakistan",Sikh Gurdwara,31.5783,74.3319,,,,,,
Gurdwara Singh Sabha,"Quetta, Balochistan, Pakistan",Sikh Gurdwara,30.192778,67.013611,,,,,,
Gurdwara Sri Kiara Sahib,"Nankana Sahib, Pakistan",Sikh Gurdwara,31.456373,73.713888,,Guru Nanak,https://www.discoversikhism.com/images/gurdwara/gurdwara_sri_kiara_sahib/gurdwara_sri_kiara_sahib1.jpg,,,
Gurdwara Tambo Sahib,"Nankana Sahib, Punjab, Pakistan",Sikh Gurdwara,31.4483,73.6844,,,,,,
Guru Gurpat Mandir (DB-80 Sirey Ghat),"DB-80 Sirey Ghat, Hyderabad, Sindh, Pakistan",Hindu Temple,25.3984,68.3571,,,,,,
Gurudwara Janam Asthan Nankana Sahib,"Nankana Sahib, Pakistan",Sikh Gurdwara,31.445763,73.695697,1819,Guru Nanak,https://upload.wikimedia.org/wikipedia/commons/8/85/Gurdwara_Janam_Asthan_%28151717%29.jpg,,,
"Jagannath Temple, Sialkot","Sialkot, Punjab, Pakistan",Hindu Temple,32.495833,74.535,,,,,,
Jamshoro District,"Jamshoro District, Jamshoro, Sindh",Muslim Shrine,26.267225,67.902592,,Laki Shah Saddar (Syed Shah Sadaruddin Lakyari),https://upload.wikimedia.org/wikipedia/commons/d/d5/Shrine_of_Lucky_Shah_Sadar.jpg,,Annual urs,
Jhollay Lal Mandir,"Karachi, Sindh, Pakistan",Hindu Temple,24.8547,67.0011,,,,,,
Kali Bari Mandir,"Peshawar, Khyber Pakhtunkhwa, Pakistan",Hindu Temple,33.9986,71.5414,,,,,,
Kalka Cave Temple (Asthan of Kalka Devi),"Aror, Sukkur District, Sindh, Pakistan",Hindu Temple,27.626056,68.930917,,,,,,
Katas Raj Temples,"Choa Saidanshah, Chakwal District, Punjab, Pakistan",Hindu Temple,32.724,72.951639,7th century CE onwards,,,,,
Krishna Mandir (Kabari Bazar),"Kabari Bazar, Rawalpindi, Punjab, Pakistan",Hindu Temple,33.6017,73.0525,,,,,,
Krishna Mandir (Ravi Road),"Ravi Road, Lahore, Punjab, Pakistan",Hindu Temple,31.5995,74.2975,,,,,,
Lal Shahbaz Qalandar,"Jamshoro, Sindh",Muslim Shrine,26.42669,67.87132,1356,Lal Shahbaz Qalandar,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ad/Shrine_Lal_Shahbaz_Qalandar%2C_Sehwan_Shareef%2C_Sindh%2C_Pakistan.jpg/500px-Shrine_Lal_Shahbaz_Qalandar%2C_Sehwan_Shareef%2C_Sindh%2C_Pakistan.jpg,,No events scheduled right now,
Langer Makhdoom,"Langer Makhdoom, Chiniot, Punjab",Muslim Shrine,31.92275,73.07259,1245,Makhdoom Burhan-ud-din,https://live.staticflickr.com/8098/8422587223_6782e83476_z.jpg,,Annual urs,
Mausoleum of Waris Shah,"Jandiala Sher Khan, Sheikhupura District, Punjab, Pakistan",Muslim Shrine,31.817313,73.916507,1978 (complex completed/opened),Waris Shah,,,,
Mazar of Bulleh Shah,"Mazar of Bulleh Shah, Kasur, Punjab",Muslim Shrine,31.121329,74.448182,1757,Bulleh Shah (Abdullah Shah Qadri),https://upload.wikimedia.org/wikipedia/commons/f/f8/Shrine_Hazrat_Baba_Bulleh_Shah.jpg,,Annual urs,
Mithankot (Kot Mithan),"Mithankot (Kot Mithan), Rajanpur, Punjab",Muslim Shrine,28.959118,70.368832,1901,Khwaja Ghulam Farid,https://upload.wikimedia.org/wikipedia/commons/e/e7/Tomb_of_Khwaja_Ghulam_Farid.jpg,,Annual urs,
Nagarparkar Jain Temples (Nagarparkar Cultural Landscape),"Karoonjhar Mountains region, Nagarparkar, Sindh, Pakistan",Hindu Temple,24.35583,70.75444,Buildings date 12th–15th century CE,,,,,
Panj Tirath,"Hashtnagri, Peshawar, Khyber Pakhtunkhwa, Pakistan",Hindu Temple,34.013444,71.579028,,,,,,
Parnami Mandir,"Malka Hans, Punjab, Pakistan",Hindu Temple,30.42414,73.274121,17th Century,Smadhi of Dya Ram,https://maariawaseem.wordpress.com/wp-content/uploads/2021/02/img_2918.jpg?w=1440&h=1200&crop=1,,,
Prahladpuri Temple,"Fort of Multan (near Shrine of Bahauddin Zakariya), Multan, Punjab, Pakistan",Hindu Temple,30.200361,71.476833,Historic; rebuilt/raised 1810; destroyed 1992,,,,,
Purana Bhalwal,"Purana Bhalwal, Bhalwal, Punjab",Muslim Shrine,32.26583,72.874731,1604,Shah Sulaimān Nūri,,,Annual urs,
Rahman Baba Mausoleum (Rehman Baba Shrine),"Hazarkhwani (Ring Road), Peshawar, Khyber Pakhtunkhwa, Pakistan",Muslim Shrine,33.99333333,71.59,1954 (mausoleum constructed),Rahman Baba (Abdur Rahman Mohmand),,,,
"Ramapir Temple, Tando Allahyar","Tando Allahyar, Tando Allahyar District, Sindh, Pakistan",Hindu Temple,25.457722,68.721778,Established 1861 (British Raj),,,,,
Ranmal Sharif,"Ranmal Sharif, Phalia, Punjab",Muslim Shrine,32.43472,73.732328,1654,Syed Muhammad Noushah Qadiri,https://mbdin.com/wp-content/uploads/2020/05/village-ranmal.jpg,,Annual urs,
Sadh Belo (Sadh Belo Island Temple),"Sadh Belo Island, near Sukkur/Rohri, Sindh, Pakistan",Hindu Temple,27.693778,68.87875,1823 (site); 1899 (temple built),,,,,
Sakhi Sarwar,"Sakhi Sarwar, Dera Ghazi Khan, Punjab",Muslim Shrine,29.986519,70.302609,13th century,Sultan Sakhi Sarwar,https://i.dawn.com/large/2014/04/534cf2d7bc3ab.jpg,,Annual urs,
Sant Baba Bhagat Ram Darbar Mandir,"Shahi Bazar, Dadu, Sindh, Pakistan",Hindu Temple,26.7354,67.7792,,,,,,
Sehwan Sharif,"Sehwan Sharif, Sehwan Sharif, Sindh",Muslim Shrine,26.4184,67.8603,1274,Lal Shahbaz Qalandar (Syed Muhammad Usman),https://upload.wikimedia.org/wikipedia/commons/a/ad/Shrine_Lal_Shahbaz_Qalandar%2C_Sehwan_Shareef%2C_Sindh%2C_Pakistan.jpg,,Annual urs,
Shah Noorani Shrine (Syed Bilawal Shah Noorani),"Lahoot Lamakan valley, Khuzdar District, Balochistan, Pakistan",Muslim Shrine,25.77296,67.01538,15th century (associated with saint active c. 1449),Syed Bilawal Shah Noorani,,,,
Shah Yousuf,"Shah Yousuf, Shahpur, Punjab",Muslim Shrine,32.19864,72.38978,15th century,Hazrat Shah Yousuf,https://api.salampakistan.gov.pk/photo-1626121387010.jpeg,,Annual urs,
Shahwala Teja Singh Mandir,"Mohallah Dharowal, Sialkot, Punjab, Pakistan",Hindu Temple,32.4908,74.5449,,,,,,
Shaktipeeth Shri Hinglaj Mata Mandir,"Hingol Balochistan National Park, Road، Asha Pura, Pakistan",Hindu Temple,25.514672,65.518726,1986,Hinglaj Mata,"https://static.toiimg.com/thumb/msid-109525095,width-1280,height-720,imgsize-210290,resizemode-6,overlay-toi_sw,pt-32,y_pad-40/photo.jpg",,,
Shamsabad,"Shamsabad, Okara, Punjab",Muslim Shrine,30.80917,73.45361,1966,Shams Ali Qalandar,https://miro.medium.com/1*eyT2zQwnT7gT4J6YiR_xIQ.jpeg,,Annual urs,
Sharada Peeth,"Sharda, Neelum Valley (Azad Kashmir), Pakistan",Hindu Temple,34.79194,74.19,Active c. 6th–12th c. CE; likely commissioned c. 724–760 CE,,,,,
Shergarh,"Shergarh, Okara, Punjab",Muslim Shrine,30.82922,73.73882,1575,Daud Bandagi Kirmani,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEiqCSqLOfY4b3GWljdX3Pd6G8q5Hi06Dvh4PBflpT6jQQHnl67K5bGoGv6TXuGu0vO-ehaXvsTu5fX0YbcZrjO_mnbZySI4Y1AUocy-ykeYK1-zQrNjP7ZL80JzTv1cSaX3eDnq4bYI8NQ/w1200-h630-p-k-no-nu/DSC_8686.jpg,,Annual urs,
Shiv Mandir Chiti Ghati,"Ghandian, Mansehra District, Khyber Pakhtunkhwa, Pakistan",Hindu Temple,34.3944,73.2153,,,,,,
"Shree Ratneshwar Mahadev Temple, Karachi","Near Clifton Beach / Jehangir Kothari Parade area, Karachi, Sindh, Pakistan",Hindu Temple,24.81275,67.026667,,,,,,
Shri Laxmi Narayan Mandir (Native Jetty Bridge),"Under Native Jetty Bridge, Karachi, Sindh, Pakistan",Hindu Temple,24.844444,66.991167,Approx. 200 years old,,,,,
Shri Panchmukhi Hanuman Mandir (Karachi),"Soldier Bazaar, Karachi East, Sindh, Pakistan",Hindu Temple,24.860611,67.020583,around 500 AD,,,,,
"Shri Swaminarayan Mandir, Karachi","M. A. Jinnah Road, Karachi, Sindh, Pakistan",Hindu Temple,24.854361,67.007972,1788,,,,,
Shri Varun Dev Mandir,"Manora Island (Manora Beach), Karachi, Sindh, Pakistan",Hindu Temple,24.797583,66.970806,,,,,,
Shrine at Odero Lal (Udero Lal Teerath Asthan),"Odero Lal Village (near Tando Adam), Matiari District, Sindh, Pakistan",Hindu Temple,25.7013347,68.5614382,Completed 1684 CE,Sheikh Tahir (also revered as Udero Lal/Jhulelal),,,,
Shrine of Abdullah Shah Ghazi,"Clifton, Karachi, Sindh",Muslim Shrine,24.8107,67.03023,773,Abdullah Shah Ghazi,https://upload.wikimedia.org/wikipedia/commons/4/46/Abdullah_Shah_Ghazi_Mausoleum_%28Pic2%29.jpg,,Annual urs,
Shrine of Abul Faiz Qalander Ali Suharwardi,"Lahore, Punjab",Muslim Shrine,31.54972,74.34361,,Abul Faiz Qalander Ali Suharwardi,https://scontent-lga3-1.xx.fbcdn.net/v/t39.30808-6/471303445_1045595177580675_8379150524206898602_n.jpg?_nc_cat=111&ccb=1-7&_nc_sid=2a1932&_nc_ohc=N-Q3Gyx_l58Q7kNvwFTf60z&_nc_oc=AdkyOuPG_UJ_UOce0krBuDC3Twe5LMf4hiTEZNf9Nq_KvFXm_-x5g_kRP6-u1mt1Rko&_nc_zt=23&_nc_ht=scontent-lga3-1.xx&_nc_gid=7yQeAJp2P76XLqdm7M7FSg&_nc_ss=8&oh=00_AfudsYT9iFMz01-wm_htjMxV6rSMmdHreJC4KWVHvDnMyg&oe=69A91287,,Annual urs,
Shrine of Bahauddin Zakariya,"Multan City, Multan, Punjab",Muslim Shrine,30.20061,71.47652,1167,Bahauddin Zakariya,https://i.tribune.com.pk/media/images/1298511-bahauddinzakariyacopy-1484676791/1298511-bahauddinzakariyacopy-1484676791.jpg,,Annual urs,
Shrine of Bibi Pak Daman,"Lahore, Punjab",Muslim Shrine,31.564283,74.339948,681,Bibi Pak Daman,https://upload.wikimedia.org/wikipedia/commons/5/59/B_Bi_Pak_Daman_June5_2004_%286%29.jpg,,Annual urs,
Shrine of Bibi Pak Daman,"Multan, Punjab",Muslim Shrine,30.178686,71.464039,681,Bibi Pak Daman,https://walledcitylahore.gop.pk/wp-content/uploads/2024/06/Shrine-of-Bibi-Pak-Daman-3.jpeg,,Annual urs,
Shrine of Fariduddin Ganjshakar,"Pakpattan, Pakpattan, Punjab",Muslim Shrine,30.3412,73.38775,1280,Fariduddin Ganjshakar,https://upload.wikimedia.org/wikipedia/commons/0/0c/Darbar_Hazrat_Baba_Farid_ud_Deen_Ganj_Shakar_Rahmatullah_Alaih_-_panoramio.jpg,,Annual urs,
Shrine of Ganj e Inayat Sarkar,"Gulberg 3, Lahore, Punjab",Muslim Shrine,31.53172,74.35803,2011,Ganj e Inayat Sarkar,https://www.facebook.com/DarbarHazoorGanjeInayatSarkar/,,Annual urs,
Shrine of Hazrat Madho Lal Hussain (Shah Hussain Darbar),"Baghbanpura (near Shalimar Gardens), Lahore, Punjab, Pakistan",Muslim Shrine,31.58565362,74.3747974,Associated with Shah Hussain (1538–1599),Shah Hussain (Madho Lal Hussain),,,,
Shrine of Hazrat Shah Daula Daryai,"Gujrat, Punjab, Pakistan",Muslim Shrine,32.5718299,74.0843839,17th century,Hazrat Shah Daula Daryai,,,,
Shrine of Imam Ali-ul-Haq,"Sialkot, Punjab",Muslim Shrine,32.29178,74.32166,13th century,Imam Ali-ul-Haq,https://www.thpsc.com/wp-content/uploads/2015/03/Imam-Ali-ul-Haq-shrine.jpg,,Annual urs,
Shrine of Jalaluddin Surkh-Posh Bukhari (Jalaluddin Bukhari),"Uch Sharif, Bahawalpur District, Punjab, Pakistan",Muslim Shrine,29.240139,71.052861,Rebuilt 1670 (site associated with saint d. c.1290),Jalaluddin Surkh-Posh Bukhari,,,,
Shrine of Makhdoom Jahaniyan Jahangasht,"Uch Sharif, Bahawalpur District, Punjab, Pakistan",Muslim Shrine,29.242889,71.055361,Associated with saint (d. 1384),Jahaniyan Jahangasht,,,,
Shrine of Mian Mir,"Alam Ganj (Dharampura), Lahore, Punjab, Pakistan",Muslim Shrine,31.548375,74.3600306,Completed/consecrated 1640,Mian Mir,,,,
Shrine of Pir Mangho,"Gadap Town, Karachi, Sindh",Muslim Shrine,24.980369,67.034959,773,Pir Mangho,https://images.squarespace-cdn.com/content/v1/605a3b99f28979644c432614/93b93408-3d24-4fc4-840e-f9b4c5b887b3/Mangho+Pir%2C+Karachi+Ecology+%282%29.jpg,,Annual urs,
Shrine of Pir Sher Muhammad,"Sharaqpur, Sharaqpur, Punjab",Muslim Shrine,31.45717,74.0925,1928,Pir Sher Muhammad,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEgWWjg1tPCTJXuWHb0KlZ7wWNHp45BlMnGvywm4uMIJCRCKh24H5yDkwi3ZeHezZmE0O-8uB9Qt3EiOs3fXQvoA6M93NWrsO2pxqaJwzOgrhWtdzoNabsUrV7FpJ3hrCyCwisARl1s-xbU/s1600/sher.jpg,,Annual urs,
Shrine of Qalandar Baba Auliya,"Shadman Town, Karachi, Sindh",Muslim Shrine,24.95986,67.056731,1979,Qalandar Baba Auliya,https://i.tribune.com.pk/media/images/5-1525427764/5-1525427764.jpg,,Annual urs,
Shrine of Sachal Sarmast,"Daraza, Khairpur, Sindh",Muslim Shrine,27.305874,68.512516,1829,Sachal Sarmast (Abdul Wahab Faruqi),https://heritageofpakistan.org/wp-content/uploads/2025/03/Sachal-Sarmast-Shrine-43-of-89.jpg,,Annual urs,
Shrine of Shah Rukn-e-Alam,"Multan City, Multan, Punjab",Muslim Shrine,30.19913,71.47181,1235,Shah Rukn-e-Alam,https://upload.wikimedia.org/wikipedia/commons/7/7c/Tomb_of_Shah_Rukn-e-Alam_2014-07-31.jpg,,Annual urs,
Shrine of Shah Shams-ud-Din Sabzwari,"Multan, Punjab",Muslim Shrine,30.200818,71.484105,,Shah Shams-ud-Din Sabzwari,https://upload.wikimedia.org/wikipedia/commons/d/d6/Shrine_of_Hazrat_Shah_Shams_ud_din_Sabzwari.jpg,,Annual urs,
Shrine of Shah Yusaf Gardez,"Multan, Punjab",Muslim Shrine,30.19479,71.46649,,Shah Yusaf Gardez,https://upload.wikimedia.org/wikipedia/commons/b/b7/Tomb_of_Shah_Yousuf_Gardezi_Multan.jpg,,Annual urs,
Shrine of Syed Musa Pak,"Multan, Multan, Punjab",Muslim Shrine,30.19025,71.47156,1592,Syed Musa Pak,https://www.thenews.com.pk/assets/uploads/akhbar/2024-11-21/l_1253233_045343_updates.jpg,,Annual urs,
Sial Sharif,"Sial Sharif, Sial Sharif (Sargodha District), Punjab",Muslim Shrine,31.54235,72.17474,1883,Muhammad Shamsuddin Sialvi,https://merasargodha.com/wp-content/uploads/SialSharif.jpg,,Annual urs,
Tilla Jogian,"Salt Range (near Dina/Jhelum), Punjab, Pakistan",Hindu Temple,32.86058256,73.44034256,Founded 9th century CE; abandoned 1947,,,,,
Tomb of Allama Iqbal (Mazar-e-Iqbal),"Lahore, Punjab, Pakistan",Muslim Shrine,31.5879,74.3113,,,,,,
Tomb of Javindi Bibi,"Mohalla Bukhari, Uch Sharif, Punjab",Muslim Shrine,29.14,71.04,1291,Jalaluddin Surkh-Posh Bukhari,https://live.staticflickr.com/2264/2536748069_c33904a715_b.jpg,,Annual urs,
Umarkot (Amarkot) Shiv Mandir,"Umerkot District, Sindh, Pakistan",Hindu Temple,25.416306,69.77625,,,,,,
Valmik Mandir (Naqi Road),"Naqi Road, Lahore, Punjab, Pakistan",Hindu Temple,31.5683,74.3111,,,,,,
Wadpagga Sharif,"Wadpagga Sharif, Peshawar, Khyber Pakhtunkhwa",Muslim Shrine,34.038945,71.654326,16th century,Ghazi Syed Shah Fateh Muhammad Bukhari,https://upload.wikimedia.org/wikipedia/commons/d/d7/Shrine_of_Jalaluddin_Bukhari_-_exterior_of_mosque.jpg,,Annual urs,
