id,kind,priority,claim,as_recorded,confidence,flags,is_new,quote,source,notes,verdict,reviewer_note
dates:hazrat-syed-azizuddin-al-hassani-wal-hussaini:9f2aeceb,dates,1,Hazrat Syed Azizuddin al-Hassani wal-Hussaini — d. 612 AH (1215 CE) [both],year,0.95,disagreesWithColumn,,He is said to have died in 612 AH (1215 CE). Alam Faqri's *Tazkirah Awliya-e-Pakistan* preserves the same broad outline,data/shrines.csv#shrine-of-peer-makki,,,
dates:kaka-sahib:442b8eb1,dates,1,"Kaka Sahib — b. the first of Ramazan in 1575, ""sometimes given as 1576"" [both]",disputed,0.95,disputedDates disagreesWithColumn,,"whose given name was *Syed Kasteer Gul* and who is also remembered by the honorific *Sheikh Rahmkar*. Born, by tradition, on the first of Ramazan in 1575 (sometimes given as 1576), he",data/shrines.csv#ziarat-kaka-sahib,,,
dates:khawaja-shah-muhammad-sulaiman-taunsvi:4babb176,dates,1,"Khawaja Shah Muhammad Sulaiman Taunsvi — b. c. 1770 (prose: ""around 1770""), d. 1850 [CE]",circa,0.95,disagreesWithColumn,,"Khwaja Muhammad Sulaiman was born around 1770 in the Taunsa region, into a Pathan family — whence his title *Pir Pathan* — and gave himself from youth to religious",data/shrines.csv#darbar-hazrat-khawaja-shah-muhammad-sulaiman-taunsvi-ra,,,
dates:khwaja-muhammad-qasim:36c4056b,dates,1,"Khwaja Muhammad Qasim — b. 1912, d. 21 March 1999 [CE]",exact-date,0.95,nameCollisions,,"Zinda Pir died on 21 March 1999 and is buried at the darbar, his tomb becoming a place of pilgrimage in its turn; his spiritual seat passed to his",data/shrines.csv#darbar-ghamkol-sharif-zinda-pir,,,
dates:maharaja-ranjit-singh:b70aaa62,dates,1,Maharaja Ranjit Singh — d. 27 June 1839 [CE],exact-date,0.95,disagreesWithColumn,,"Ranjit Singh, the ""Lion of Punjab,"" founded and ruled the Sikh Empire from 1801 until his death on 27 June 1839. Construction began the following",data/shrines.csv#samadhi-of-maharaja-ranjit-singh,,,
dates:mian-mir:961d30a5,dates,1,"Mian Mir — b. the sixteenth century, d. 1635 (1045 AH) [both]",disputed,0.95,disputedDates disagreesWithColumn,,"Mian Mir was born in the sixteenth century in Sehwan (Sivastan) in Sindh — the town lying, as the prince Dara Shikoh later noted, between the cities",data/shrines.csv#shrine-of-mian-mir,,,
dates:mian-muhammad-umar-chamkani:4cb8033f,dates,1,"Mian Muhammad Umar Chamkani — b. 1671 (""traditionally""), d. 1776 (this entry) / Rajab 1119 AH, approximately 1707-1708 CE (Alam Faqri) — unresolved [both]",disputed,0.95,disputedDates disagreesWithColumn,,"Mian Umar (traditionally 1671-1776) was a Sufi of the Naqshbandi order — a scholar, poet, social reformer, and historian who is counted, together",data/shrines.csv#shrine-of-mian-umar-baba-chamkani,,,
dates:shah-inayat-qadiri:c5f0c287,dates,1,"Shah Inayat Qadiri — b. around 1643, d. around 1728 [CE]",circa,0.95,nameCollisions,,"The field survey adds biographical detail not previously in this entry: his given name as Abul-Muarif Hanfi Qadri, his memorisation of the Qur'an by age five, and titles it records for him",data/shrines.csv#shrine-of-shah-inayat-qadiri,,,
dates:shah-yousuf:12485e87,dates,1,Shah Yousuf — no date [unclear],unrecorded,0.95,nameCollisions,,"almost nothing about the saint's life, lineage, or era survives in accessible written sources. The fifteenth-century founding date sometimes attached to the site could not be",data/shrines.csv#shah-yousuf,,,
dates:syed-shah-jamal-uddin-naqvi-bukhari:8db71a8d,dates,1,"Syed Shah Jamal Uddin Naqvi Bukhari — b. 1587 (""by the shrine’s account""), d. 1671 (the shrine’s own tradition) / 1649 — sources differ [CE]",disputed,0.95,disputedDates disagreesWithColumn,,"Born, by the shrine's account, in 1587, he is generally held to have died in the later seventeenth century, though sources differ on the precise",data/shrines.csv#shrine-of-shah-jamal,,,
dates:abdullah-shah-ghazi:da315cb0,dates,1,Abdullah Shah Ghazi — fl. the eighth century [CE],century,0.7,disagreesWithColumn,,Tradition places him in the eighth century and holds him to be a descendant of the Prophet through the line of Imam Hasan; for the people of Karachi he is the guardian of the,data/shrines.csv#shrine-of-abdullah-shah-ghazi,,,
dates:akhund-darweza-baba:7a84c1f3,dates,1,"Akhund Darweza Baba — b. 1533 (""traditionally""), d. 1638 (""traditionally"") [CE]",year,0.7,disagreesWithColumn,,*Akhund Darweza* (traditionally 1533-1638) was one of the most influential religious figures of the Pashtun country in the age of the Mughals — a,data/shrines.csv#shrine-of-akhund-darweza-baba,,,
dates:bibi-pak-daman:8c20ad68,dates,1,Bibi Pak Daman — no date [unclear],disputed,0.7,disputedDates,,"Two great traditions about the identity of the six women endure side by side, and the shrine holds meaning in both. The older and by far the more",data/shrines.csv#shrine-of-bibi-pak-daman,,,
dates:guru-gorakhnath:27b8df4e,dates,1,Guru Gorakhnath — fl. somewhere between the ninth and twelfth centuries CE [CE],disputed,0.7,disputedDates,,traditionally held to have lived somewhere between the ninth and twelfth centuries CE and revered as a *mahasiddha* and the founder of the *Nath* order of *yogis*. He is,data/shrines.csv#gorakhnath-goraknath-temple,,,
dates:hazrat-syed-abdul-wahab:736a3bdf,dates,1,Hazrat Syed Abdul Wahab — fl. the reign of the Mughal emperor Akbar (1556-1605) [unclear],unrecorded,0.7,nameCollisions,,a Sufi and preacher remembered as one of the great teachers of Islam in the Pashtun country during the reign of the Mughal emperor Akbar (1556-1605). Tradition holds that many were guided,data/shrines.csv#shrine-of-akhund-panju-baba,,,
dates:imam-ali-ul-haq:2820c194,dates,1,Imam Ali-ul-Haq — no date [unclear],disputed,0.7,disputedDates nameCollisions,,"Two broad traditions circulate about Imam Ali-ul-Haq, and they cannot easily be reconciled. According to the more commonly repeated local account, he lived in the medieval period",data/shrines.csv#shrine-of-imam-ali-ul-haq,,,
dates:khwaja-muhammad-qasim-sadiq:c5c8c27d,dates,1,Khwaja Muhammad Qasim Sadiq — b. about 1846 (1263 AH) [both],year,0.7,disputedDates disagreesWithColumn nameCollisions,,"The centre was established by *Khwaja Muhammad Qasim Sadiq*, born about 1846 (1263 AH), whose forebears are said to have migrated from Iran and",data/shrines.csv#mohra-sharif-khanqah,,,
dates:shah-daula-daryai:5c490aa5,dates,1,"Shah Daula Daryai — b. roughly 1581 (""traditionally said""), d. roughly 1675 (""traditionally said"") [CE]",circa,0.7,disagreesWithColumn,,"Reliable dates for Shah Daula are difficult to fix, and the sources differ; he is traditionally said to have lived roughly between 1581 and 1675, and to have settled in Gujrat in the early",data/shrines.csv#shrine-of-hazrat-shah-daula-daryai,,,
dates:shah-shams-ud-din-sabzwari:323699b5,dates,1,Shah Shams-ud-Din Sabzwari — d. the thirteenth century [CE],century,0.7,disagreesWithColumn,,He died in Multan in the thirteenth century. ## The Shrine and its Devotion Shah Shams Sabzwari’s shrine in,data/shrines.csv#shrine-of-shah-shams-ud-din-sabzwari,,,
dates:shah-sulaimn-nri:2bfef493,dates,1,"Shah Sulaimān Nūri — b. the early sixteenth century, d. 1604 [CE]",century,0.7,disagreesWithColumn,,"Shah Sulaiman Nuri is traditionally said to have lived a remarkably long life, from the early sixteenth century until 1604. According to the accounts",data/shrines.csv#purana-bhalwal,,,
dates:shah-yusaf-gardez:99fa2820,dates,1,Shah Yusaf Gardez — d. the first half of the 1100s [CE],range,0.7,disagreesWithColumn nameCollisions,,"tradition places his arrival in the years around 1088 and his death in the first half of the 1100s), when Islam was still taking root in the region. A Sayyid of the family of the",data/shrines.csv#shrine-of-shah-yusaf-gardez,,,
dates:sheikh-tahir:c3cb1e0d,dates,1,Sheikh Tahir — no date [unclear],unrecorded,0.7,nameCollisions,,"The Muslim tradition of the site tells that the saint interred here was born a Hindu named Odero Lal and embraced Islam, becoming known as Sheikh Tahir; some identify the figure with",data/shrines.csv#shrine-at-odero-lal-udero-lal-teerath-asthan,,,
dates:syed-sakhi-shah-chan-charagh:056fa06c,dates,1,"Syed Sakhi Shah Chan Charagh — fl. generally placed in the eighteenth century, ""in the twilight of Mughal power"" [unclear]",century,0.7,disputedDates,,"The saint's given name is traditionally said to have been Shah Zaman, and he is remembered as a *sayyid* — a descendant of the Prophet Muhammad — whose lineage is traced through",data/shrines.csv#darbar-sakhi-shah-chan-charagh,,,
finding:dates:subjectMismatch:allo-mahar,finding/dates,1,allo-mahar — subjectMismatch,Pir Syed Muhammad Channan Shah Nuri,,subjectMismatch,,"**Pir Syed Muhammad Channan Shah Nuri** is the figure recorded in our database for this site, in the Naqshbandi tradition. **Sayyid Faiz-ul-Hassan Shah** (c. 1911–1984), honoured as",allo-mahar,"The row's only dated figure is not its recorded figure. The entry itself documents this as an unresolved identification awaiting a field visit (docs/allo_mahar_resolution.md). The 1911/1984 dates are therefore NOT proposed for Channan Shah Nuri, and no dates are proposed for him at all.",,
finding:dates:subjectMismatch:darbar-hazrat-khawaja-feroz-ud-din-gharib-nawaz-chishti-nizami,finding/dates,1,darbar-hazrat-khawaja-feroz-ud-din-gharib-nawaz-chishti-nizami — subjectMismatch,Hazrat Khawaja Feroz-ud-Din Gharib Nawaz Chishti Nizami,,subjectMismatch,,"When Hazrat Khawaja Sheikh Muhammad Mustafa died in 1390 AH, he called Feroz-ud-Din to him in his final moments, conferred on him the cloak of",darbar-hazrat-khawaja-feroz-ud-din-gharib-nawaz-chishti-nizami,"The row's only other year — 1390 AH — is the master's death, not the saint's. The saint's own birth statement is self-contradictory (""the latter part of the 1900s (19th century)"") and the entry says so.",,
finding:dates:subjectMismatch:eidgah-sharif,finding/dates,1,eidgah-sharif — subjectMismatch,Hazrat Hafiz Muhammad Abdul Karim (Baba Ji),,subjectMismatch,,who is said to have been born on 8 June 1898 in the household of the founder and who carried the mission forward through much of the twentieth century as *sajjada-nashin*. From him the,eidgah-sharif,"DANGEROUS: this row carries two precise birth dates and neither belongs to the principal figure. Baba Ji himself has no dates anywhere in the row. Anything that scrapes ""the first date in the row"" would attach 1898 to the wrong man.",,
finding:dates:subjectMismatch:mohra-sharif-khanqah,finding/dates,1,mohra-sharif-khanqah — subjectMismatch,Khwaja Muhammad Qasim Sadiq,,subjectMismatch,,"is recorded as having died on 9 December 1993; he was followed by Hazrat Khawaja Pir Badshah Sahib, who died on 13 August 2008; and then by Pir Auliya Badshah Farooq Sahib as the third",mohra-sharif-khanqah,"The only two exact death dates printed in this row belong to the founder's successors, not the founder — while the founder's own death year is missing from the column entirely. Another ""first date in the row"" trap.",,
finding:dates:subjectMismatch:sant-baba-bhagat-ram-darbar-mandir,finding/dates,1,sant-baba-bhagat-ram-darbar-mandir — subjectMismatch,Sant Baba Bhagat Ram,,subjectMismatch,,"among them a Dayo Ram Daduvansi said to have lived in the nineteenth century (dates variously given as 1836–1906), and it has even been suggested, though this is no more than a local",sant-baba-bhagat-ram-darbar-mandir,"The only dates in the row belong to a different saint of the same town, and are themselves flagged as ""variously given"". No dates are proposed for Bhagat Ram.",,
finding:dates:subjectMismatch:tomb-of-javindi-bibi,finding/dates,1,tomb-of-javindi-bibi — subjectMismatch,Bibi Jawindi,,subjectMismatch,,"by tradition a great-granddaughter of the celebrated saint Makhdoom Jahaniyan Jahangasht — venerated for her holiness. Her tomb was built around 1493, tradition holds,",tomb-of-javindi-bibi,"Graph-side mismatch rather than prose-side: existing-saints.json gives this shrine to Jalaluddin Surkh-Posh Bukhari, so a lineage view would show his 1192–1291 dates against a shrine whose subject is his descendant four generations later. Bibi Jawindi needs her own node.",,
finding:lineage:explicitNonRelations:(an unnamed disciple) ↛ Bhai Gurdas,finding/lineage,1,(an unnamed disciple) ↛ Bhai Gurdas — explicitNonRelations,,,explicitNonRelations,,the Gandava darbar was founded by one of Bhai Gurdas's disciples,data/shrines.csv#sevapanthi-darbar-bhai-gurdas-gandava,,,
finding:lineage:explicitNonRelations:Hazrat Wasif Ali Wasif Awan ↛ (caution on the one relation proposed),finding/lineage,1,Hazrat Wasif Ali Wasif Awan ↛ (caution on the one relation proposed) — explicitNonRelations,,,explicitNonRelations,,"the phrasing as recorded is not fully grammatical and is reproduced here rather than silently cleaned up, since resolving it further would mean guessing at what the surveyor meant",data/shrines.csv#darbar-wasif-ali-wasif,,,
finding:lineage:explicitNonRelations:Makhdoom Abdul Rahim Girhori ↛ Khwaja Muhammad Zaman,finding/lineage,1,Makhdoom Abdul Rahim Girhori ↛ Khwaja Muhammad Zaman — explicitNonRelations,,,explicitNonRelations,,His memory forms part of the wider Naqshbandi devotional network that the disciples of Khwaja Muhammad Zaman spread across Sindh in the eighteenth century.,data/shrines.csv#shrine-of-makhdoom-abdul-rahim-girhori,,,
finding:lineage:explicitNonRelations:Makhdoom Nooh ↛ any living master,finding/lineage,1,Makhdoom Nooh ↛ any living master — explicitNonRelations,,,explicitNonRelations,,honoured also with an Uwaisi spiritual lineage,data/shrines.csv#shrine-of-makhdoom-nooh-hala,,,
finding:lineage:explicitNonRelations:Malik Ahmad Ayaz ↛ Mahmud Ghaznavi (and any Sufi pir),finding/lineage,1,Malik Ahmad Ayaz ↛ Mahmud Ghaznavi (and any Sufi pir) — explicitNonRelations,,,explicitNonRelations,,"the survey describes a slave, soldier, minister and governor, gives no *pīr*–*murīd* lineage, no initiation, no discipleship, and no teaching corpus",entries/entry_malik_ahmad_ayaz.md,,,
"finding:lineage:explicitNonRelations:Mian Mir ↛ (his teacher, unnamed in this sentence)",finding/lineage,1,"Mian Mir ↛ (his teacher, unnamed in this sentence) — explicitNonRelations",,,explicitNonRelations,,"Around the age of twenty-five, with his teacher’s permission, Mian Mir came to Lahore",data/shrines.csv#shrine-of-mian-mir,,,
finding:lineage:explicitNonRelations:Shams Ali Qalandar ↛ any living master,finding/lineage,1,Shams Ali Qalandar ↛ any living master — explicitNonRelations,,,explicitNonRelations,,"the epithet *Owaisi* denotes, in Sufi usage, a spiritual initiation received inwardly rather than from a living master",data/shrines.csv#shamsabad,,,
finding:lineage:explicitNonRelations:Syed Kasteer Gul (Kaka Sahib) ↛ Akhund Panju Baba (Hazrat Syed Abdul Wahab),finding/lineage,1,Syed Kasteer Gul (Kaka Sahib) ↛ Akhund Panju Baba (Hazrat Syed Abdul Wahab) — explicitNonRelations,,,explicitNonRelations,,"the nearby saint Akhund Panju Baba was a respected contemporary he is said to have met, rather than a personal teacher",data/shrines.csv#ziarat-kaka-sahib,,,
finding:lineage:explicitNonRelations:Syed Kasteer Gul (Kaka Sahib) ↛ any personal living guide,finding/lineage,1,Syed Kasteer Gul (Kaka Sahib) ↛ any personal living guide — explicitNonRelations,,,explicitNonRelations,,though he himself is remembered in the *Uwaisi* style of not naming a personal living guide,data/shrines.csv#ziarat-kaka-sahib,,,
finding:order:proseValuedSilsila:darbar-abul-muali-qadri,finding/order,1,darbar-abul-muali-qadri — proseValuedSilsila,"Not stated as an order. Q5 answers the *silsila* question with descent and personal affiliation: ""Lineage of Hazrat Ali (R.A), Kirmani Sadaat, Affiliation with Syed Dawood Bandgi Kirmani."" See qa_note 1.",,proseValuedSilsila,,,darbar-abul-muali-qadri,"The cell is a sentence that explicitly declines to name an order: the survey's silsila question was answered with descent and personal affiliation instead. NO membership is proposed for this shrine. The saint's own name ends ""Qadri"" and the row recounts his devotion to Sheikh Abdul Qadir Jilani, but the source states the silsila was not given as an order, so reading Qadiriyya off the name would be exactly the inference this cell was written to prevent. Display as recorded text only.",,
finding:order:proseValuedSilsila:darbar-hazrat-tahir-bandagi-qadri,finding/order,1,darbar-hazrat-tahir-bandagi-qadri — proseValuedSilsila,Qadri (see year_built_note / Description for a discrepancy in how the survey names his order),,proseValuedSilsila,,,darbar-hazrat-tahir-bandagi-qadri,"Not a refusal case — an order name IS present — but the cell carries its own pointer to a discrepancy and must be displayed verbatim. The parenthetical must never become part of a node label, and the Qadiri reading must not be shown without the caveat. Two proposals (Qadiri, Naqshbandi Mujaddidi) are made at 0.7 rather than resolving it.",,
finding:order:proseValuedSilsila:darbar-malik-ahmad-ayaz,finding/order,1,darbar-malik-ahmad-ayaz — proseValuedSilsila,"As recorded: ""Ahl e Sunnat - Ghaznavi silsila""",,proseValuedSilsila,,,darbar-malik-ahmad-ayaz,"The cell is a quotation frame (""As recorded: ..."") around a sect plus a dynastic label. entries/entry_malik_ahmad_ayaz.md rules on it directly: ""Ghaznavi is a dynastic rather than an initiatic designation, and the account describes political and military service, not spiritual affiliation"", and ""the account never calls him a saint or places him in a Sufi lineage of teachers"". NO membership proposed. Display as recorded text only.",,
finding:order:proseValuedSilsila:darbar-wasif-ali-wasif,finding/order,1,darbar-wasif-ali-wasif — proseValuedSilsila,"Chishti Qadri — the survey states allegiance (bai'at) to ""Hazrat Shah Niyaz Ahmad Chisti Qadri""; see note on the source wording below",,proseValuedSilsila,,,darbar-wasif-ali-wasif,"Same shape: an order name followed by a caveat sentence about the source wording. ""Chishti Qadri"" here is part of the murshid's name, and the row states the survey answer ""is not fully grammatical and is reproduced here rather than"" tidied. Keep the whole string on display; the label must be the branch string alone.",,
lineage:abul-faiz-qalander-ali-suharwardi:disciple_of:ala-hazrat-ahmad-raza-khan:0f30bab3,lineage,1,Sayyid Abul Faiz Qalandar Ali Gilani Suhrawardi — disciple of — Ala Hazrat Ahmad Raza Khan of Bareilly,,0.95,nameVariantsSeen,object,"took the oath of allegiance (bai‘at) at his hand, becoming counted among his special pupils",data/shrines.csv#shrine-of-abul-faiz-qalander-ali-suharwardi,"The object is named in the same sentence: ""He presented himself before Ala Hazrat Ahmad Raza Khan of Bareilly"". Also in shrine_entries/Abul Faiz Qalandari.md and its field-survey note (""bai'at with Ahmad Raza Khan"").",,
lineage:akhund-darweza-baba:disciple_of:syed-ali-tirmizi:ff3face3,lineage,1,Akhund Darweza (Syed Muhammad) — disciple of — Sayyid Ali Tirmizi (Pir Baba),,0.95,nameVariantsSeen,,"a disciple of *Sayyid Ali Tirmizi*, the saint known as *Pir Baba* of Buner (himself honoured at a shrine in this collection)",data/shrines.csv#shrine-of-akhund-darweza-baba,Connects two shrines in the archive: shrine-of-akhund-darweza-baba and shrine-of-pir-baba-syed-ali-tirmizi.,,
lineage:akhund-darweza-baba:successor_of:syed-ali-tirmizi:ad38a868,lineage,1,Akhund Darweza (Syed Muhammad) — successor of — Mir Syed Ali / Syed Ali Ghawwas Tirmizi,,0.95,nameVariantsSeen,,"it names him a *khalifa* (successor) of ""Mir Syed Ali,"" i.e. Syed Ali Ghawwas Tirmizi",data/shrines.csv#shrine-of-akhund-darweza-baba,"Attributed to Alam Faqri, *Tazkirah Awliya-e-Pakistan*. Stated from the other side in data/shrines.csv#shrine-of-pir-baba-syed-ali-tirmizi: ""names Akhund Darweza ... as his most renowned khalifa (successor)"" — the reverse-direction phrasing, same relation.",,
lineage:bhagat-kanwar-ram:disciple_of:satguru-swami-sai-satramdas-sahib:b4a18cd8,lineage,1,Bhagat Kanwar Ram — disciple of — Sant Satram Das (1866-1910),,0.95,nameVariantsSeen,,and a disciple of Sant Satram Das (1866-1910),data/shrines.csv#sant-bhagat-kanwar-ram-temple-chak,"Object matched to the existing saint of sant-satram-dham-raharki, whose archive dates (born 25 October 1866, ""left the mortal body"" 25 January 1910) match the parenthetical dates given here exactly. The Raharki entry separately says ""His memory is closely linked with that of Bhagat Kanwar Ram (also recorded in this dataset)"". Connects two shrines in the archive.",,
lineage:bhai-gurdas-singh-disciple-of-guru-gobind-singh:disciple_of:guru-gobind-singh:22a0df3d,lineage,1,Bhai Gurdas Singh (also remembered by the name Kanhiya Lal) — disciple of — Guru Gobind Singh,,0.95,nameVariantsSeen,,It is traditionally held to have been founded by Bhai Gurdas Singh — also remembered by the name Kanhiya Lal — a disciple of Guru Gobind Singh,data/shrines.csv#khatwari-darbar-shikarpur,"Corroborated in entries/web-research-2026-08/khatwari-darbar-shikarpur.md from Kalhoro: founded by ""Kanhiya Lal, alias Bhai Gurdas, a disciple of Guru Gobind Singh"". Connects two shrines in the archive (khatwari-darbar-shikarpur and gurdwara-dash-mesh-pita).",,
lineage:hazrat-hafiz-muhammad-abdur-rahman:successor_of:pir-abdul-ul-karim:27c7176d,lineage,1,Hazrat Hafiz Muhammad Abdur Rahman — successor of — Hazrat Hafiz Muhammad Abdul Karim (Baba Ji),,0.95,nameVariantsSeen,subject,"Upon Baba Ji's death the spiritual seat passed to his son, *Hazrat Hafiz Muhammad Abdur Rahman*",data/shrines.csv#eidgah-sharif,"Object matched to the existing saint slug for eidgah-sharif, whose recorded name is ""Pir Abdul-ul-karim"" — a spelling variant of the ""Hazrat Hafiz Muhammad Abdul Karim (Baba Ji)"" the description names. See nameVariantsSeen.",,
lineage:hazrat-hafiz-muhammad-jamal-multani:disciple_of:khwaja-noor-muhammad-maharvi:625a2610,lineage,1,Hafiz Muhammad Jamal Multani — disciple of — Khwaja Noor Muhammad Maharvi,,0.95,nameVariantsSeen,object,"Hafiz Jamal was a disciple of *Khwaja Noor Muhammad Maharvi*, a leading Chishti master of the region",data/shrines.csv#shrine-of-hafiz-muhammad-jamal-multani,,,
lineage:khwaja-muhammad-qasim-sadiq:disciple_of:khwaja-nizamuddin-aulia-of-kahiyan-sharif:64eac25c,lineage,1,Khwaja Muhammad Qasim Sadiq — disciple of — Khwaja Nizamuddin Aulia of Kahiyan Sharif,,0.95,nameVariantsSeen,object,"he journeyed on foot to the shrine of his spiritual guide, *Khwaja Nizamuddin Aulia* of Kahiyan Sharif in the Neelam Valley of Kashmir, and there received *khilafat*",data/shrines.csv#mohra-sharif-khanqah,"CAUTION: named ""Khwaja Nizamuddin Aulia"" of Kahiyan Sharif, Neelam Valley — a nineteenth/twentieth-century Kashmiri figure as the source has it, NOT the fourteenth-century Nizamuddin Auliya of Delhi who appears elsewhere in these proposals. Kept as a separate new slug on purpose.",,
lineage:khwaja-muhammad-qasim-sadiq:successor_of:khwaja-nizamuddin-aulia-of-kahiyan-sharif:2d41d6e5,lineage,1,Khwaja Muhammad Qasim Sadiq — successor of — Khwaja Nizamuddin Aulia of Kahiyan Sharif,,0.95,nameVariantsSeen,object,there received *khilafat* with the instruction to settle at Mohra Sharif,data/shrines.csv#mohra-sharif-khanqah,,,
lineage:khwaja-pir-muhammad-zahid-khan:successor_of:khwaja-muhammad-qasim-sadiq:debea2e1,lineage,1,Khwaja Pir Muhammad Zahid Khan — successor of — Khwaja Muhammad Qasim Sadiq,,0.95,nameVariantsSeen,subject,"On his death the spiritual seat passed to his son Khwaja Pir Muhammad Zahid Khan, remembered as the first *sajjada nashin* (custodian) of Mohra Sharif",data/shrines.csv#mohra-sharif-khanqah,Also in familyRelations (son).,,
lineage:shah-abul-muali-qadri:disciple_of:daud-bandagi-kirmani:dc360f33,lineage,1,"Hazrat Syed Muhammad Khair ul Deen, known as Shah Abul Muali Qadri — disciple of — Daud Bandagi Kirmani (Dawood Bandgi Kirmani)",,0.95,nameVariantsSeen,,"named his uncle Dawood Bandgi Kirmani. Astonished, he returned to his uncle",entries/entry_abul_muali_qadri.md,"The relation is stated across two adjacent sentences of the same passage: the majzub names his uncle Dawood Bandgi Kirmani as the master he is searching for, and ""His request for allegiance was accepted"". Independently supported by the survey's own silsila answer (entries/survey_abul_muali_qadri.md, Q5): ""Lineage of Hazrat Ali (R.A), Kirmani Sadaat, Affiliation with Syed Dawood Bandgi Kirmani"". Object matched to the existing saint at shrine `shergarh`, which the survey itself locates (""whose shrine is in Shergarh""). Connects two shrines in the archive: darbar-abul-muali-qadri and shergarh.",,
lineage:shah-sulaimn-nri:disciple_of:shah-maroof-khushabi:7ef46abb,lineage,1,Hazrat Shah Sulaiman Nuri (Sakhi Badshah) — disciple of — Shah Maroof Khushabi,,0.95,nameVariantsSeen,object,his spiritual guide (*pir*) was Shah Maroof Khushabi of the nearby town of Khushab,data/shrines.csv#purana-bhalwal,,,
