id,priority,shrine,legacy_cell,principal_figure_cell,legacy_slug,principal_slug,consequence,sites_on_legacy_figure,retires_url,flags,draft_verdict,draft_rationale,verdict,chosen_name,reviewer_note
figure-column:shrine-at-odero-lal-udero-lal-teerath-asthan:67bab2f1,1,Shrine at Odero Lal (Udero Lal Teerath Asthan),Sheikh Tahir (also revered as Udero Lal/Jhulelal),Sheikh Tahir / Udero Lal (Jhulelal),sheikh-tahir,sheikh-tahir-udero-lal,the figure slug moves,sheikh-tahir=1,sheikh-tahir,merge-key-legacy-only retires:sheikh-tahir,,Contested — see the cases in DECISION_figure_identity_column.md.,,,
figure-column:shrine-of-lakhi-shah-saddar:4b861ef0,1,Shrine of Lakhi Shah Saddar,Laki Shah Saddar (Syed Shah Sadaruddin Lakyari),Syed Shah Sadaruddin Lakyari (Lakhi Shah Saddar),laki-shah-saddar,syed-shah-sadaruddin-lakyari,the figure slug moves,laki-shah-saddar=1,laki-shah-saddar,merge-key-legacy-only retires:laki-shah-saddar,,Contested — see the cases in DECISION_figure_identity_column.md.,,,
figure-column:valmik-mandir-naqi-road:97f96ea9,1,Valmik Mandir (Naqi Road),Bhagwan Valmik (Valmiki),Valmiki (Bhagwan Valmik),valmiki,valmiki,"same figure, different wording",valmiki=3,,merge-key-legacy-only,,Contested — see the cases in DECISION_figure_identity_column.md.,,,
figure-column:bhai-sant-thawan-das-mandir:0a62da16,2,Bhai Sant Thawan Das Mandir,Bhai Sant Thawan Das,Sant Thawan Das,bhai-sant-thawan-das,sant-thawan-das,the figure slug moves,bhai-sant-thawan-das=1,bhai-sant-thawan-das,retires:bhai-sant-thawan-das,principal,"A title or descriptor leaves the slug and the name itself is unchanged (bhai). Retires the old URL, which retiredSlugs redirects.",,,
figure-column:churrio-jabal-durga-mata-temple:72f8c1d4,2,Churrio Jabal Durga Mata Temple,Goddess Durga (Mata),Durga (Mata),goddess-durga,durga,the figure slug moves,goddess-durga=1,goddess-durga,retires:goddess-durga,principal,"A title or descriptor leaves the slug and the name itself is unchanged (goddess). Retires the old URL, which retiredSlugs redirects.",,,
figure-column:darbar-hazrat-khawaja-shah-muhammad-sulaiman-taunsvi-ra:07f6e071,2,Darbar Hazrat Khawaja Shah Muhammad Sulaiman Taunsvi (R.A),Khawaja Shah Muhammad Sulaiman Taunsvi,Khwaja Muhammad Sulaiman Taunsvi,khawaja-shah-muhammad-sulaiman-taunsvi,khwaja-muhammad-sulaiman-taunsvi,the figure slug moves,khawaja-shah-muhammad-sulaiman-taunsvi=1,khawaja-shah-muhammad-sulaiman-taunsvi,retires:khawaja-shah-muhammad-sulaiman-taunsvi,principal,"A respelling of the same name. Retires the old URL, which retiredSlugs redirects.",,,
figure-column:dargah-fateh-pur-sharif:978b8283,2,Dargah Fateh Pur Sharif,Syed Rakhyal Shah Sufi Al Qadri,Syed Rakhyal Shah,syed-rakhyal-shah-sufi-al-qadri,syed-rakhyal-shah,the figure slug moves,syed-rakhyal-shah-sufi-al-qadri=1,syed-rakhyal-shah-sufi-al-qadri,retires:syed-rakhyal-shah-sufi-al-qadri,principal,"A title or descriptor leaves the slug and the name itself is unchanged (sufi, al, qadri). Retires the old URL, which retiredSlugs redirects.",,,
figure-column:dargah-of-khwaja-muhammad-zaman-luari-sharif:34f4003d,2,Dargah of Khwaja Muhammad Zaman (Luari Sharif),"Khwaja Muhammad Zaman ""Sultan al-Aulia"" (1713–1775)",Khwaja Muhammad Zaman (Sultan al-Aulia),khwaja-muhammad-zaman-sultan-al-aulia,khwaja-muhammad-zaman,the figure slug moves,khwaja-muhammad-zaman-sultan-al-aulia=1,khwaja-muhammad-zaman-sultan-al-aulia,retires:khwaja-muhammad-zaman-sultan-al-aulia,principal,"A title or descriptor leaves the slug and the name itself is unchanged (sultan, al, aulia). Retires the old URL, which retiredSlugs redirects.",,,
figure-column:dargah-of-pir-muhammad-rashid-roze-dhani-pir-jo-goth:ce78987c,2,"Dargah of Pir Muhammad Rashid (Roze Dhani), Pir Jo Goth","Pir Syed Muhammad Rashid Shah, ""Roze Dhani"" (founder of the Rashidi order)",Pir Syed Muhammad Rashid Shah (Roze Dhani),pir-syed-muhammad-rashid-shah-roze-dhani,pir-syed-muhammad-rashid-shah,the figure slug moves,pir-syed-muhammad-rashid-shah-roze-dhani=1,pir-syed-muhammad-rashid-shah-roze-dhani,retires:pir-syed-muhammad-rashid-shah-roze-dhani,principal,"A title or descriptor leaves the slug and the name itself is unchanged (roze, dhani). Retires the old URL, which retiredSlugs redirects.",,,
figure-column:eidgah-sharif:08877a89,2,Eidgah Sharif,Pir Abdul-ul-karim,Hazrat Hafiz Muhammad Abdul Karim (Baba Ji),pir-abdul-ul-karim,hazrat-hafiz-muhammad-abdul-karim,the figure slug moves,pir-abdul-ul-karim=1,pir-abdul-ul-karim,retires:pir-abdul-ul-karim,needs-human,"The two cells share only ""abdul"" and ""karim"". This asserts that Pir Abdul-ul-karim and Hazrat Hafiz Muhammad Abdul Karim (Baba Ji) are one man. They may well be; the sheet does not say so, and a name overlap is not evidence in this corpus.",,,
figure-column:garh-maharaja-shorkot:69f7e22b,2,Garh Maharaja (Shorkot),Sultan Bahoo,Sultan Bahu,sultan-bahoo,sultan-bahu,the figure slug moves,sultan-bahoo=1,sultan-bahoo,retires:sultan-bahoo,principal,"A respelling of the same name. Retires the old URL, which retiredSlugs redirects.",,,
figure-column:golra-sharif:8327dae9,2,Golra Sharif,Pir Meher Ali Shah,Pir Sayyid Meher Ali Shah,pir-meher-ali-shah,pir-sayyid-meher-ali-shah,the figure slug moves,pir-meher-ali-shah=1,pir-meher-ali-shah,retires:pir-meher-ali-shah,principal,"The curated cell gives the fuller recorded form of the same name (adds sayyid). Retires the old URL, which retiredSlugs redirects.",,,
figure-column:gori-temple-gori-jo-mandar:4f545a53,2,Gori Temple (Gori jo Mandar),Jain temple dedicated to Parshvanatha (23rd Tirthankara),Parshvanatha (23rd Tirthankara),jain-temple-dedicated-to-parshvanatha,parshvanatha,the figure slug moves,jain-temple-dedicated-to-parshvanatha=1,jain-temple-dedicated-to-parshvanatha,retires:jain-temple-dedicated-to-parshvanatha,principal,"A title or descriptor leaves the slug and the name itself is unchanged (jain, temple, dedicated, to). Retires the old URL, which retiredSlugs redirects.",,,
figure-column:gurdwara-shaheed-bhai-taru-singh:23b9edd3,2,Gurdwara Shaheed Bhai Taru Singh,Bhai Taru,Bhai Taru Singh,bhai-taru,bhai-taru-singh,the figure slug moves,bhai-taru=1,bhai-taru,retires:bhai-taru,principal,"The curated cell gives the fuller recorded form of the same name (adds singh). Retires the old URL, which retiredSlugs redirects.",,,
figure-column:gurdwara-singh-sabha:2e0232da,2,Gurdwara Singh Sabha,Guru Granth Sahib / Sikh community (Singh Sabha congregation; city assoc. w/ Guru Nanak per Tilganji tradition),Sikh community (Singh Sabha),guru-granth-sahib-sikh-community,sikh-community,the figure slug moves,guru-granth-sahib-sikh-community=1,guru-granth-sahib-sikh-community,retires:guru-granth-sahib-sikh-community,principal,"A title or descriptor leaves the slug and the name itself is unchanged (guru, granth, sahib). Retires the old URL, which retiredSlugs redirects.",,,
figure-column:guru-gurpat-mandir-db-80-sirey-ghat:31949362,2,Guru Gurpat Mandir (DB-80 Sirey Ghat),Guru Gurpat,Baba Gurpat Sahib,guru-gurpat,baba-gurpat-sahib,the figure slug moves,guru-gurpat=1,guru-gurpat,retires:guru-gurpat,needs-human,"Changes the honorific class, Guru -> Baba. In Sikh usage ""Guru"" is reserved, so this may be the curated column correcting a real error — or it may be flattening a local usage the survey recorded. A tradition question, not a data one.",,,
figure-column:khatwari-darbar-shikarpur:33086224,2,"Khatwari Darbar, Shikarpur","Bhai Gurdas Singh (Kanhiya Lal), disciple of Guru Gobind Singh",Bhai Gurdas Singh (Kanhiya Lal),bhai-gurdas-singh-disciple-of-guru-gobind-singh,bhai-gurdas-singh,the figure slug moves,bhai-gurdas-singh-disciple-of-guru-gobind-singh=1,bhai-gurdas-singh-disciple-of-guru-gobind-singh,retires:bhai-gurdas-singh-disciple-of-guru-gobind-singh,principal,"A title or descriptor leaves the slug and the name itself is unchanged (disciple, of, guru, gobind). Retires the old URL, which retiredSlugs redirects.",,,
figure-column:krishna-mandir-kabari-bazar:46303b63,2,Krishna Mandir (Kabari Bazar),Lord Krishna,Krishna,lord-krishna,krishna,the figure slug moves,lord-krishna=2,lord-krishna,retires:lord-krishna,principal,"A title or descriptor leaves the slug and the name itself is unchanged (lord). Retires the old URL, which retiredSlugs redirects.",,,
figure-column:krishna-mandir-ravi-road:46303b63,2,Krishna Mandir (Ravi Road),Lord Krishna,Krishna,lord-krishna,krishna,the figure slug moves,lord-krishna=2,lord-krishna,retires:lord-krishna,principal,"A title or descriptor leaves the slug and the name itself is unchanged (lord). Retires the old URL, which retiredSlugs redirects.",,,
figure-column:loh-temple-lava-temple:ddf0a9ae,2,Loh Temple (Lava Temple),"Lava (Luv), son of Rama and Sita",Lava (Luv),lava-son-of-rama-and-sita,lava,the figure slug moves,lava-son-of-rama-and-sita=1,lava-son-of-rama-and-sita,retires:lava-son-of-rama-and-sita,principal,"A title or descriptor leaves the slug and the name itself is unchanged (son, of, rama, and, sita). Retires the old URL, which retiredSlugs redirects.",,,
figure-column:parnami-mandir:88ac8600,2,Parnami Mandir,Smadhi of Dya Ram,Dya Ram,smadhi-of-dya-ram,dya-ram,the figure slug moves,smadhi-of-dya-ram=1,smadhi-of-dya-ram,retires:smadhi-of-dya-ram,principal,"A title or descriptor leaves the slug and the name itself is unchanged (smadhi, of). Retires the old URL, which retiredSlugs redirects.",,,
figure-column:purana-bhalwal:975b2be4,2,Purana Bhalwal,Shah Sulaimān Nūri,Hazrat Shah Sulaiman Nuri (Sakhi Badshah),shah-sulaimn-nri,hazrat-shah-sulaiman-nuri,the figure slug moves,shah-sulaimn-nri=1,shah-sulaimn-nri,retires:shah-sulaimn-nri,principal,"A respelling of the same name. Retires the old URL, which retiredSlugs redirects.",,,
figure-column:ram-mandir-saidpur-ram-kund-mandir:77bcca46,2,"Ram Mandir, Saidpur (Ram Kund Mandir)",Dedicated to Lord Rama,Rama,dedicated-to-lord-rama,rama,the figure slug moves,dedicated-to-lord-rama=1,dedicated-to-lord-rama,retires:dedicated-to-lord-rama,principal,"A title or descriptor leaves the slug and the name itself is unchanged (dedicated, to, lord). Retires the old URL, which retiredSlugs redirects.",,,
figure-column:ranmal-sharif:a80544bd,2,Ranmal Sharif,Syed Muhammad Noushah Qadiri,Syed Muhammad Noushah Ganj Bakhsh,syed-muhammad-noushah-qadiri,syed-muhammad-noushah-ganj-bakhsh,the figure slug moves,syed-muhammad-noushah-qadiri=1,syed-muhammad-noushah-qadiri,retires:syed-muhammad-noushah-qadiri,principal,"A respelling of the same name. Retires the old URL, which retiredSlugs redirects.",,,
figure-column:sant-baba-asudaram-darbar-panno-aqil:6d4aea9f,2,Sant Baba Asudaram Darbar (Panno Aqil),"Sant Baba Asudaram ""Sakhi Baba"" (1895–1960)",Sant Baba Asudaram (Sakhi Baba),sant-baba-asudaram-sakhi-baba,sant-baba-asudaram,the figure slug moves,sant-baba-asudaram-sakhi-baba=1,sant-baba-asudaram-sakhi-baba,retires:sant-baba-asudaram-sakhi-baba,principal,"A title or descriptor leaves the slug and the name itself is unchanged (sakhi). Retires the old URL, which retiredSlugs redirects.",,,
figure-column:sevapanthi-darbar-bhai-gurdas-gandava:fa634678,2,"Sevapanthi Darbar (Bhai Gurdas), Gandava",Bhai Gurdas (Sevapanthi tradition); veneration of Guru Nanak,Bhai Gurdas (Sevapanthi),bhai-gurdas-veneration-of-guru-nanak,bhai-gurdas,the figure slug moves,bhai-gurdas-veneration-of-guru-nanak=1,bhai-gurdas-veneration-of-guru-nanak,retires:bhai-gurdas-veneration-of-guru-nanak,principal,"A title or descriptor leaves the slug and the name itself is unchanged (veneration, of, guru, nanak). Retires the old URL, which retiredSlugs redirects.",,,
figure-column:sharada-peeth:421c58d9,2,Sharada Peeth,Goddess Sharada (Saraswati),Sharada (Saraswati),goddess-sharada,sharada,the figure slug moves,goddess-sharada=1,goddess-sharada,retires:goddess-sharada,principal,"A title or descriptor leaves the slug and the name itself is unchanged (goddess). Retires the old URL, which retiredSlugs redirects.",,,
figure-column:shri-panchmukhi-hanuman-mandir-karachi:89a49ddc,2,Shri Panchmukhi Hanuman Mandir (Karachi),Lord Hanuman (Panchmukhi form),Hanuman (Panchmukhi),lord-hanuman,hanuman,the figure slug moves,lord-hanuman=1,lord-hanuman,retires:lord-hanuman,principal,"A title or descriptor leaves the slug and the name itself is unchanged (lord). Retires the old URL, which retiredSlugs redirects.",,,
figure-column:shrine-of-abul-faiz-qalander-ali-suharwardi:895bc04c,2,Shrine of Abul Faiz Qalander Ali Suharwardi,Abul Faiz Qalander Ali Suharwardi,Sayyid Abul Faiz Qalandar Ali Gilani Suhrawardi,abul-faiz-qalander-ali-suharwardi,sayyid-abul-faiz-qalandar-ali-gilani-suhrawardi,the figure slug moves,abul-faiz-qalander-ali-suharwardi=1,abul-faiz-qalander-ali-suharwardi,retires:abul-faiz-qalander-ali-suharwardi,principal,"A respelling of the same name. Retires the old URL, which retiredSlugs redirects.",,,
figure-column:shrine-of-akhund-darweza-baba:a90a395f,2,Shrine of Akhund Darweza Baba,"Akhund Darweza Baba (Syed Muhammad, d. 1638)",Akhund Darweza (Syed Muhammad),akhund-darweza-baba,akhund-darweza,the figure slug moves,akhund-darweza-baba=1,akhund-darweza-baba,retires:akhund-darweza-baba,principal,"A title or descriptor leaves the slug and the name itself is unchanged (baba). Retires the old URL, which retiredSlugs redirects.",,,
figure-column:shrine-of-bibi-pak-daman:46b96a9a,2,Shrine of Bibi Pak Daman,Bibi Pak Daman,The six Bibis (Bibi Pak Daman),bibi-pak-daman,the-six-bibis,the figure slug moves,bibi-pak-daman=1,bibi-pak-daman,retires:bibi-pak-daman,needs-human,"A named figure becomes a collective (""The six Bibis""). That is a claim about who is buried there, not a spelling. Note also that bibi-pak-daman is one of the eight protected slugs in CLAUDE.md — that protection is on the SHRINE slug and this is the FIGURE slug, so nothing breaks, but do not approve it on the assumption they are unrelated names.",,,
figure-column:shrine-of-fariduddin-ganjshakar:cbffa301,2,Shrine of Fariduddin Ganjshakar,Fariduddin Ganjshakar,Baba Fariduddin Mas'ud Ganjshakar,fariduddin-ganjshakar,baba-fariduddin-masud-ganjshakar,the figure slug moves,fariduddin-ganjshakar=1,fariduddin-ganjshakar,retires:fariduddin-ganjshakar,principal,"The curated cell gives the fuller recorded form of the same name (adds baba, masud). Retires the old URL, which retiredSlugs redirects.",,,
figure-column:shrine-of-ganj-e-inayat-sarkar:312f9e34,2,Shrine of Ganj e Inayat Sarkar,Ganj e Inayat Sarkar,Pir Muhammad Inayat Ahmad Naqshbandi Mujaddidi,ganj-e-inayat-sarkar,pir-muhammad-inayat-ahmad-naqshbandi-mujaddidi,the figure slug moves,ganj-e-inayat-sarkar=1,ganj-e-inayat-sarkar,retires:ganj-e-inayat-sarkar,needs-human,The two cells name the figure differently rather than spelling it differently. That is an identity claim and the sheet does not argue for it.,,,
figure-column:shrine-of-hafiz-muhammad-jamal-multani:970cd17c,2,Shrine of Hafiz Muhammad Jamal Multani,Hazrat Hafiz Muhammad Jamal Multani (Chishti),Hafiz Muhammad Jamal Multani,hazrat-hafiz-muhammad-jamal-multani,hafiz-muhammad-jamal-multani,the figure slug moves,hazrat-hafiz-muhammad-jamal-multani=1,hazrat-hafiz-muhammad-jamal-multani,retires:hazrat-hafiz-muhammad-jamal-multani,principal,"A title or descriptor leaves the slug and the name itself is unchanged (hazrat). Retires the old URL, which retiredSlugs redirects.",,,
figure-column:shrine-of-imam-ali-ul-haq:94bdda94,2,Shrine of Imam Ali-ul-Haq,Imam Ali-ul-Haq,Hazrat Imam Ali-ul-Haq (Imam Sahib),imam-ali-ul-haq,hazrat-imam-ali-ul-haq,the figure slug moves,imam-ali-ul-haq=1,imam-ali-ul-haq,retires:imam-ali-ul-haq,principal,"The curated cell gives the fuller recorded form of the same name (adds hazrat). Retires the old URL, which retiredSlugs redirects.",,,
figure-column:shrine-of-jalaluddin-surkh-posh-bukhari-jalaluddin-bukhari:53fabbe5,2,Shrine of Jalaluddin Surkh-Posh Bukhari (Jalaluddin Bukhari),Jalaluddin Surkh-Posh Bukhari,Sayyid Jalaluddin Surkh-Posh Bukhari,jalaluddin-surkh-posh-bukhari,sayyid-jalaluddin-surkh-posh-bukhari,the figure slug moves,jalaluddin-surkh-posh-bukhari=1,jalaluddin-surkh-posh-bukhari,retires:jalaluddin-surkh-posh-bukhari,principal,"The curated cell gives the fuller recorded form of the same name (adds sayyid). Retires the old URL, which retiredSlugs redirects.",,,
figure-column:shrine-of-makhdoom-jahaniyan-jahangasht:3d39c48a,2,Shrine of Makhdoom Jahaniyan Jahangasht,Jahaniyan Jahangasht,Sayyid Jalaluddin (Makhdoom Jahaniyan Jahangasht),jahaniyan-jahangasht,sayyid-jalaluddin,the figure slug moves,jahaniyan-jahangasht=1,jahaniyan-jahangasht,retires:jahaniyan-jahangasht,needs-human,"principal_figure is WORSE here, and this is the second such row after Kalka Cave Temple. ""Sayyid Jalaluddin"" would sit one suffix away from ""Sayyid Jalaluddin Surkh-Posh Bukhari"", who is a different man and his grandfather. The legacy slug jahaniyan-jahangasht is unambiguous and the curated one invites exactly the confusion HANDOVER records 19 wrong merges for.",,,
figure-column:shrine-of-pir-sher-muhammad:e35aa1c2,2,Shrine of Pir Sher Muhammad,Pir Sher Muhammad,Mian Pir Sher Muhammad Sharaqpuri,pir-sher-muhammad,mian-pir-sher-muhammad-sharaqpuri,the figure slug moves,pir-sher-muhammad=1,pir-sher-muhammad,retires:pir-sher-muhammad,principal,"The curated cell gives the fuller recorded form of the same name (adds mian, sharaqpuri). Retires the old URL, which retiredSlugs redirects.",,,
figure-column:shrine-of-qalandar-baba-auliya:e9c8d379,2,Shrine of Qalandar Baba Auliya,Qalandar Baba Auliya,Sayyid Muhammad Azeem Barkhiya (Qalandar Baba Auliya),qalandar-baba-auliya,sayyid-muhammad-azeem-barkhiya,the figure slug moves,qalandar-baba-auliya=1,qalandar-baba-auliya,retires:qalandar-baba-auliya,needs-human,The two cells name the figure differently rather than spelling it differently. That is an identity claim and the sheet does not argue for it.,,,
figure-column:shrine-of-shah-yusaf-gardez:2fce19fd,2,Shrine of Shah Yusaf Gardez,Shah Yusaf Gardez,Shah Yusuf Gardez,shah-yusaf-gardez,shah-yusuf-gardez,the figure slug moves,shah-yusaf-gardez=1,shah-yusaf-gardez,retires:shah-yusaf-gardez,principal,"A respelling of the same name. Retires the old URL, which retiredSlugs redirects.",,,
figure-column:shrine-of-syed-musa-pak:cb75c100,2,Shrine of Syed Musa Pak,Syed Musa Pak,Syed Musa Pak Shaheed,syed-musa-pak,syed-musa-pak-shaheed,the figure slug moves,syed-musa-pak=1,syed-musa-pak,retires:syed-musa-pak,principal,"The curated cell gives the fuller recorded form of the same name (adds shaheed). Retires the old URL, which retiredSlugs redirects.",,,
figure-column:sial-sharif:550b9b42,2,Sial Sharif,Muhammad Shamsuddin Sialvi,Khwaja Muhammad Shamsuddin Sialvi,muhammad-shamsuddin-sialvi,khwaja-muhammad-shamsuddin-sialvi,the figure slug moves,muhammad-shamsuddin-sialvi=1,muhammad-shamsuddin-sialvi,retires:muhammad-shamsuddin-sialvi,principal,"The curated cell gives the fuller recorded form of the same name (adds khwaja). Retires the old URL, which retiredSlugs redirects.",,,
figure-column:ziarat-kaka-sahib:922386d4,2,Ziarat Kaka Sahib,"Kaka Sahib (Syed Kasteer Gul, ""Sheikh Rahmkar"")",Syed Kasteer Gul (Kaka Sahib),kaka-sahib,syed-kasteer-gul,the figure slug moves,kaka-sahib=1,kaka-sahib,retires:kaka-sahib,needs-human,The two cells name the figure differently rather than spelling it differently. That is an identity claim and the sheet does not argue for it.,,,
figure-column:allo-mahar:d4c37f90,3,Allo Mahar,Pir Syed Muhammad Channan Shah Nuri,Pir Syed Muhammad Channan Shah Nuri,pir-syed-muhammad-channan-shah-nuri,pir-syed-muhammad-channan-shah-nuri,identical,pir-syed-muhammad-channan-shah-nuri=1,,,principal,The two cells are identical. Adopting the schema column changes nothing.,,,
figure-column:amb-temples-amb-sharif:22fc1ee2,3,Amb Temples (Amb Sharif),Shiva (Mahadev),Shiva (Mahadev),shiva,shiva,identical,shiva=8,,,principal,The two cells are identical. Adopting the schema column changes nothing.,,,
figure-column:bhagnari-mandir:22fc1ee2,3,Bhagnari Mandir,Shiva (Mahadev),Shiva (Mahadev),shiva,shiva,identical,shiva=8,,,principal,The two cells are identical. Adopting the schema column changes nothing.,,,
figure-column:bhai-waliram-darbar:656f2963,3,Bhai Waliram Darbar,Bhai Waliram,Bhai Waliram,bhai-waliram,bhai-waliram,identical,bhai-waliram=1,,,principal,The two cells are identical. Adopting the schema column changes nothing.,,,
figure-column:bhit-bhit-shah:c1c6ce9f,3,Bhit (Bhit Shah),Shah Abdul Latif Bhittai,Shah Abdul Latif Bhittai,shah-abdul-latif-bhittai,shah-abdul-latif-bhittai,identical,shah-abdul-latif-bhittai=1,,,principal,The two cells are identical. Adopting the schema column changes nothing.,,,
figure-column:chandragup-baba-chandragup:1d8534f2,3,Chandragup (Baba Chandragup),Shiva (associated deity),Shiva (associated),shiva,shiva,"same figure, different wording",shiva=8,,,principal,"Different wording, same slug. No URL moves and no reader sees a change; the curated cell is the better record of the name.",,,
figure-column:darbar-abul-muali-qadri:634b1945,3,Darbar Abul Muali Qadri,"Hazrat Syed Muhammad Khair ul Deen, known as Shah Abul Muali Qadri","Hazrat Syed Muhammad Khair ul Deen, known as Shah Abul Muali Qadri",hazrat-syed-muhammad-khair-ul-deen-known-as-shah-abul-muali-qadri,hazrat-syed-muhammad-khair-ul-deen-known-as-shah-abul-muali-qadri,identical,hazrat-syed-muhammad-khair-ul-deen-known-as-shah-abul-muali-qadri=1,,,principal,The two cells are identical. Adopting the schema column changes nothing.,,,
figure-column:darbar-ghamkol-sharif-zinda-pir:8819b785,3,Darbar Ghamkol Sharif (Zinda Pir),"Khwaja Muhammad Qasim (""Zinda Pir"")",Khwaja Muhammad Qasim (Zinda Pir),khwaja-muhammad-qasim,khwaja-muhammad-qasim,"same figure, different wording",khwaja-muhammad-qasim=1,,,principal,"Different wording, same slug. No URL moves and no reader sees a change; the curated cell is the better record of the name.",,,
figure-column:darbar-ghazi-ilm-din-shaheed:ff3a0e06,3,Darbar Ghazi Ilm Din Shaheed,Ghazi Ilm Din Shaheed,Ghazi Ilm Din Shaheed,ghazi-ilm-din-shaheed,ghazi-ilm-din-shaheed,identical,ghazi-ilm-din-shaheed=1,,,principal,The two cells are identical. Adopting the schema column changes nothing.,,,
figure-column:darbar-hazrat-khawaja-feroz-ud-din-gharib-nawaz-chishti-nizami:6f8eec27,3,Darbar Hazrat Khawaja Feroz-ud-Din Gharib Nawaz Chishti Nizami,Hazrat Khawaja Feroz-ud-Din Gharib Nawaz Chishti Nizami,Hazrat Khawaja Feroz-ud-Din Gharib Nawaz Chishti Nizami,hazrat-khawaja-feroz-ud-din-gharib-nawaz-chishti-nizami,hazrat-khawaja-feroz-ud-din-gharib-nawaz-chishti-nizami,identical,hazrat-khawaja-feroz-ud-din-gharib-nawaz-chishti-nizami=1,,,principal,The two cells are identical. Adopting the schema column changes nothing.,,,
figure-column:darbar-hazrat-tahir-bandagi-qadri:862cdd67,3,Darbar Hazrat Tahir Bandagi Qadri,Hazrat Tahir Bandagi Qadri,Hazrat Tahir Bandagi Qadri,hazrat-tahir-bandagi-qadri,hazrat-tahir-bandagi-qadri,identical,hazrat-tahir-bandagi-qadri=1,,,principal,The two cells are identical. Adopting the schema column changes nothing.,,,
