shrine,location,problem,current_lat,current_lon,proposed_lat,proposed_lon,distance_m,source,source_id,source_url,recommendation,verdict,proposed_precision
Darbar Malik Ahmad Ayaz,"Shah Alam Market; the survey places the mazar near Darbar Ali Hajveri Ganj Bakhsh (Data Darbar). No city, district, tehsil or province is stated anywhere in the survey for the shrine itself. Pin reuses Data Darbar's own coordinate, since the survey ties this shrine's location directly to it — an approximate landmark, not the shrine's exact position. Ask Saifullah for a precise pin when possible.",shares its point with 1 other entry,31.57803,74.307,,,,,,,NO SOURCE FOUND — needs a field survey or a better source,,
Darbar Wasif Ali Wasif,"Miani Sahib Graveyard, Lahore — the survey gives no street address, tehsil, district, or coordinates; it locates the shrine only as a dedicated plot beside the graveyard, which it describes as one of the largest graveyards in Asia.",shares its point with 3 other entries,31.5498,74.317,,,,,,,NO SOURCE FOUND — needs a field survey or a better source,,
"Gurdwara Chhevin Patshahi, Jhalian (Jhalian Dhilwan)","Jhalian (Jhalian Dhilwan), near Barki, Lahore District, Punjab, Pakistan",2 decimal places (~1110m),31.46,74.555,,,,,,,NO SOURCE FOUND — needs a field survey or a better source,,
Rahman Baba Mausoleum (Rehman Baba Shrine),"Hazarkhwani (Ring Road), Peshawar, Khyber Pakhtunkhwa, Pakistan",2 decimal places (~1110m),33.99333333,71.59,,,,,,,NO SOURCE FOUND — needs a field survey or a better source,,
"Sant Satram Dham, Raharki (Sacho Satram / Devri Sahib)","Raharki (Raherki Sahib), Daharki Taluka, Ghotki District, Sindh, Pakistan",1 decimal places (~11100m),28.3,69.39,,,,,,,NO SOURCE FOUND — needs a field survey or a better source,,
"Sevapanthi Darbar (Bhai Gurdas), Gandava","Heart of Gandava (Gandawah) town, Jhal Magsi District, Balochistan, Pakistan",shares its point with 1 other entry,28.617,67.483,,,,,,,NO SOURCE FOUND — needs a field survey or a better source,,
Shrine of Hazrat Muhammad Ayub Shah Bukhari,"Gandawah (Gandava), Jhal Magsi District, Balochistan, Pakistan",shares its point with 1 other entry,28.617,67.483,,,,,,,NO SOURCE FOUND — needs a field survey or a better source,,
Shrine of Makhdoom Abdul Rahim Girhori,"Girhor Sharif, near Pithoro, Umarkot, Sindh, Pakistan",2 decimal places (~1110m),25.51,69.29,,,,,,,NO SOURCE FOUND — needs a field survey or a better source,,
Shrine of Mauj Darya Bukhari,"Edward Road, Anarkali, Lahore, Punjab, Pakistan",2 decimal places (~1110m),31.565,74.31,,,,,,,NO SOURCE FOUND — needs a field survey or a better source,,
Shrine of Mian Umar Baba (Chamkani),"Chamkani, Peshawar, Khyber Pakhtunkhwa, Pakistan",2 decimal places (~1110m),34.03,71.628,,,,,,,NO SOURCE FOUND — needs a field survey or a better source,,
Shrine of Pir Chhatal Shah Noorani,"Near Naulung (Moola gorge), Gandava area, Jhal Magsi District, Balochistan, Pakistan",2 decimal places (~1110m),28.66,67.35,,,,,,,NO SOURCE FOUND — needs a field survey or a better source,,
"Shrine of Pir Lakha (Aab-e-Shifa), Jhal Magsi","Near Kotra (Moola gorge area), Jhal Magsi District, Balochistan, Pakistan",2 decimal places (~1110m),28.63,67.37,,,,,,,NO SOURCE FOUND — needs a field survey or a better source,,
Darbar Hazrat Shah Gohar Peer,"Lahore (no locality, address or coordinates recorded in the survey)","NO coordinate at all — in the live sheet, not in the shipped snapshot",,,,,,,,,"NO SOURCE FOUND — OSM and Wikidata return nothing for this name. NOT blocked on a coordinate: isValidRow keeps unmapped rows since 22 Aug and names this shrine as the reason, so npm run data:build ships it as an honestly unmapped page. A coordinate would still improve it; a field survey is the only source.",,
Darbar Mian Qurban Ali Shah,"Mint Stop, Lahore (as given in the survey; no province, street address or coordinates)","NO coordinate at all — in the live sheet, not in the shipped snapshot",,,,,,,,,"NO SOURCE FOUND — OSM and Wikidata return nothing for the shrine, and nothing for the ""Mint Stop"" landmark either. Same as above: shipped as unmapped by data:build; a real coordinate needs someone in Lahore.",,
