source_id	type	n_shrines	citation
S6EE840	book	1	*Exegetical Notes of the Holy Qur’an by Shaykh Hujwiri* — a compilation of Qur’anic commentary attributed to the saint.
S261C45	book	1	Published biographical and devotional literature issued by the *darbar* of Eidgah Sharif concerning its founding elders and their spiritual succession.
SC6DEDB	book	1	Works of and about Pir Meher Ali Shah (e.g., *Saif-e-Chishtiyai*).
S9CFBAB	book	1	George Weston Briggs, *Gorakhnath and the Kanphata Yogis*, on Gorakhnath and the *Nath* tradition.
S96475B	book	1	Surinder Singh Johar, *Guru Nanak: A Biography*.
S568CCF	book	1	Khushwant Singh, *A History of the Sikhs*, for the founding of the community and the succession of Guru Angad.
S838B03	book	1	Iqbal Qaiser, *Historical Sikh Shrines in Pakistan*, on the shrine and its history by the Ravi.
S8D6C9A	book	1	Khushwant Singh, *A History of the Sikhs*, and Max Arthur Macauliffe, *The Sikh Religion*, on Guru Arjan and its aftermath under Guru Hargobind.
S26DD8C	book	1	Iqbal Qaiser, *Historical Sikh Shrines in Pakistan*, on the shrine at Lahore and its setting among the city's monuments.
S5BFECE	book	1	Iqbal Qaiser, *Historical Sikh Shrines in Pakistan*, on the shrine at Hasan Abdal and its history.
S9071F2	book	1	Singh, Nikky-Guninder Kaur. *Sikhism: An Introduction*. I. B. Tauris.
SEC35C5	book	1	Singh, Ganda. *Sardar Jassa Singh Ahluwalia* and related studies on the eighteenth-century Sikh struggle.
S846AC3	book	1	Gandhi, Surjit Singh. *History of Sikh Gurus Retold*.
S375F96	book	1	Iqbal Qaiser, *Historical Sikh Shrines in Pakistan*, a survey of the gurdwaras on the Pakistani side of Punjab.
SA5BC0F	book	1	Alexander Cunningham, *Archaeological Survey of India Reports* (survey of the Salt Range and Katas, 1872–73).
S2E7009	book	1	Verses attributed to Lal Shahbaz Qalandar and the traditional *Dama Dam Mast Qalandar* (quoted in standard published wording).
S8022FD	book	1	Annemarie Schimmel, *Mystical Dimensions of Islam* (University of North Carolina Press).
S3BE4DC	book	1	David Gilmartin, *Empire and Islam: Punjab and the Making of Pakistan* (on shrine culture in rural Punjab).
S93B799	book	1	Ahmad Nabi Khan, *Islamic Architecture of Pakistan* (for the Bhodesar mosque and regional context).
SE92C51	book	1	Munshi Gopal Das, *Tareekh-e-Peshawar* (1874), for the tradition linking the site to the sons of Pandu.
S925C59	book	1	A. Cunningham, *The Ancient Geography of India*, and A. Foucher's studies, on the Buddhist associations of Peshawar (*Purushapura*).
S9436B5	book	1	Documentation of the Malka Hans temple by heritage writers on Pakistan's Hindu monuments (e.g. the *lahOre and mOre* and Ali Usman Baig field accounts).
SAB2CD0	book	1	General literature on the *bhakti* movements of western India and their spread into Sindh and the Punjab.
S933BA2	book	1	Studies of the *Narasimha* and *Holika*–Prahlada legend cycle in Vaishnava tradition.
S205092	book	1	Accounts of the *gaddi nashin* lineage and the nineteenth-century building of the temple complex.
SCB0B67	book	1	Prakash Tandon, *Punjabi Century* (for the texture of Hindu life in pre-Partition Punjab).
SF8EBA0	book	1	George Michell, *The Hindu Temple: An Introduction to Its Meaning and Forms* (on the *nagara* tradition).
S166956	book	1	Annemarie Schimmel, *Mystical Dimensions of Islam* (University of North Carolina Press), on the qalandars and the Qadiri order.
S17E181	book	1	Devotional accounts of Hazrat Shams Ali Qalandar and his *Tegh-e-Barahna* (to be used with due caution).
S92EC41	book	1	Studies on the development of the *Sharada* script and Sanskrit manuscript culture in Kashmir.
S7B1AE0	book	1	Adi Shankara's hymns enumerating the eighteen *Maha Shakti Peethas*.
SB5DD1A	book	1	*The Rāmāyaṇa* of Valmiki (for the traditions of Hanuman and Rama's exile).
S0DCD64	book	1	Boivin, Michel. *Historical Dictionary of the Sufi Culture of Sindh* and related studies on Sindhi religion.
SA3C8C6	book	1	Sayyid Abul Faiz Qalandar Ali Suhrawardi, *Jamal-e-Rasool* (Lahore: Oriental Publications) — the saint’s own devotional work in praise of the Prophet.
SBDF1D8	book	1	Professor Dilawar Khan, *Talzeem-e-Ala Hazrat: Hazrat Abul Faiz kī ‘Ilmī Khidmāt kā Mutāla‘a* — a study of the saint’s scholarship as a pupil of Ahmad Raza Khan.
S83994A	book	1	*Darbar Abul Faiz Qalandari Gilani Soharwardi* — Urdu account of the shrine and lineage.
S4EAF5E	book	1	Muhammad Ilyas Aadil, *Bibiyan Pakdamanan / Darbar Bibi Pak Daman* (Lahore).
SCF37B2	book	1	Hafeez Ullah Manzar, *Hazrat Bibi Pak Damanan Lahore ki Tareekh*.
S0B70F5	book	1	Maulvi Muhammad Bakhsh Shah Qureshi, *Tareekh-e-Bibiyan Pakdaman*.
SA742D9	book	1	Hafeez Ullah Khan Manzar, *Hazrat Bibi Pakdaman: Kaun Hain aur Kahan se Aain?* (Lahore: Idara Ziya-e-Adab).
S795E59	book	1	Pir Muhammad Inayat Ahmad Naqshbandi Mujaddidi (“Ganj-e-Inayat Sarkar”), *Kitab-us-Salat: Namaz, Durood aur Tasawwuf ki Barakat* (Lahore: Idara Punjabi Likhariyan, Shahdara) — the saint’s own work on prayer and the Sufi path.
SA51BE8	book	1	*Darbar Hazrat Ganj-e-Inayat Sarkar* — Urdu account of the saint and the shrine.
S921902	book	1	Shafqat Tanvir Mirza, *Shah Hussain* (Islamabad: Lok Virsa) — Urdu study of the saint’s life, teachers (Bahlol, Data’s darbar), contemporaries, and travels.
SD967DD	book	1	*Kalam-e-Shah Hussain* (ed. Syed Babar Ali) — a collected edition of Shah Hussain’s Punjabi kafis.
S2C1392	book	1	*Shah Husain* (Punjabi/Urdu study; from the project’s source collection).
SC70393	book	1	*Darbar Madho Lal Hussain* — Urdu account of the shrine and its history.
S9B5682	book	1	Shahamat Ali, *The Sikhs and Afghans* (London, 1847), for the earliest printed notice of the *chuhas*.
SF63C06	book	1	Ganesh Das Wadhera, *Chār Bāgh-i-Panjāb* (nineteenth-century Persian chronicle of the Punjab), for the disputed tenth-century account of the saint.
S8F0BED	book	1	General studies of the Islamisation of the Punjab and of warrior-saint (*ghazi*/*shahid*) cults in South Asian Islam.
SC95862	book	1	Muhammad Dara Shikoh, *Sakīnat al-Auliyā* (Persian; the prince’s hagiography of Mian Mir and his circle).
S75220C	book	1	Madanjit Kaur, *The Golden Temple: Past and Present* (referenced on the foundation-stone tradition).
S71BB8A	book	1	G. W. Briggs, *Gorakhnath and the Kanphata Yogis*, for the wider Nath ascetic tradition.
SEF34F4	book	1	Muhammad Iqbal, Persian works: *Asrar-e-Khudi*, *Rumuz-e-Bekhudi*, *Payam-e-Mashriq*, and *Javid Nama*.
SEE526E	book	1	Muhammad Iqbal, *The Reconstruction of Religious Thought in Islam* (English lectures).
S46A90D	book	1	Raikes, S. N. *Memoir on the Thurr and Parkur Districts of Sindh*.
S0FC9C2	book	1	General works on Sufi shrine culture and *sayyid* families in Khyber Pakhtunkhwa.
S18C6B9	encyclopaedia	1	"Wikipedia, ""Religion in Karachi"" and related entries on the city's Hindu heritage."
S5871CF	encyclopaedia	1	"Wikipedia, ""Chandragup"" and ""Hinglaj Yatra."""
SD99A18	encyclopaedia	1	"""Rakhyal Shah,"" *Wikipedia* (citing Boivin and contemporary press coverage)."
S4BDF54	encyclopaedia	1	"Wikipedia, ""Darya Lal Mandir"" (with cited sources)."
S9E340E	encyclopaedia	1	"Wikipedia, ""List of Hindu temples in Pakistan."""
SE863B8	encyclopaedia	1	SikhiWiki and Discover Sikhism, entries on Bebe Nanaki and Gurdwara Janamasthan Bebe Nanaki, Dera Chahal.
S4D42A5	encyclopaedia	1	SikhiWiki and Discover Sikhism, entries on the gurdwaras of Peshawar.
SDD1132	encyclopaedia	1	"""Eminabad,"" in *The Encyclopaedia of Sikhism*, Vol. II: E–L, ed. Harbans Singh, 3rd ed. (Punjabi University, Patiala, 2011)."
S5F9127	encyclopaedia	1	"""A Complete Tour Guide To Ghurdwara Choa Sahib, Pakistan,"" Ministry of Religious Affairs and Interfaith Harmony, Government of Pakistan (text closely mirrors the English Wikipedia article ""Gurdwara Chowa Sahib"")."
SBF8A4B	encyclopaedia	1	SikhiWiki and Sikh pilgrimage literature on the Guru Hargobind gurdwaras of Lahore.
S28E9E0	encyclopaedia	1	"SikhiWiki, ""Gurdwara Pehli Patshahi (Jind Pir)"" (for contrast with Sukkur's better-documented gurdwaras)."
S47F137	encyclopaedia	1	"AllAboutSikhs, ""Gurudwara Sadhu Bela, Sukkur"" (for contrast)."
S9046EB	encyclopaedia	1	"""Nankana Sahib,"" in *The Encyclopaedia of Sikhism* (Harbans Singh, ed.) and Sikh reference works, for the shrines of the fifth and sixth Gurus."
S953C6A	encyclopaedia	1	"""Gurdwara Patti Sahib"" and ""Nankana Sahib,"" in *The Encyclopaedia of Sikhism* (Harbans Singh, ed.) and Sikh reference works."
SEDB2DB	encyclopaedia	1	"DiscoverSikhism, ""Gurdwara Sri Guru Nanak Sahib, Shikarpur."""
S51B3AE	encyclopaedia	1	"Wikipedia, ""Sikhism in Pakistan"" (with cited sources)."
S2AF6C7	encyclopaedia	1	"""Nankana Sahib"" and ""Gurdwara Kiara Sahib,"" in *The Encyclopaedia of Sikhism* (Harbans Singh, ed.) and Sikh reference works."
SE9B846	encyclopaedia	1	"""Gurdwara Tambu Sahib"" and ""Nankana Sahib,"" in *The Encyclopaedia of Sikhism* (Harbans Singh, ed.) and Sikh reference works."
S3BB234	encyclopaedia	1	"Wikipedia, ""Shivala Teja Singh temple,"" for contrast; the redirect from ""Jagannath Temple, Sialkot"" reflects an unresolved identification, not a confirmed identity between the two sites."
S2FFA29	encyclopaedia	1	"Wikipedia, ""Darya Lal Mandir,"" for contrast with the Custom House site."
SAE1571	encyclopaedia	1	"Wikipedia, ""Kali Temple, Kalat."""
S8E3888	encyclopaedia	1	"Wikipedia, ""Kalibari Mandir, Peshawar"" and ""List of Hindu temples in Pakistan"" (with cited sources)."
S245FE6	encyclopaedia	1	"Wikipedia, ""Kalka Cave Temple"" and ""Aror (Alor)"" (with cited sources)."
SE419A8	encyclopaedia	1	"Wikipedia, ""Krishna Temple, Rawalpindi"" (with cited press sources)."
SDC37E1	encyclopaedia	1	"Wikipedia, ""Krishna Mandir, Lahore"" and ""List of temples in Lahore"" (with cited sources)."
SF356D9	encyclopaedia	1	"Wikipedia, ""Nagarparkar Jain temples"" and ""Nagarparkar"" (with cited sources)."
S6C1C3B	encyclopaedia	1	"Wikipedia, ""Pranami"" (Pranami Sampradaya) and ""Mahamati Prannath"", with cited sources."
S5321A5	encyclopaedia	1	"Wikipedia, ""Hinduism in Sindh"" and ""Dadu, Sindh"", with cited sources."
S3E7763	encyclopaedia	1	"Wikipedia, ""Mansehra Shiva Temple"" and ""Chitti Gatti"" (with cited sources)."
S3B0BB0	encyclopaedia	1	"Wikipedia, ""Shree Ratneshwar Mahadev Temple, Karachi"" and ""Jehangir Kothari Parade"" (with cited sources)."
SA621FA	encyclopaedia	1	"Wikipedia, ""Shri Laxmi Narayan Mandir"" (Karachi) (with cited sources)."
S7945F9	encyclopaedia	1	"Wikipedia, ""Valmiki Mandir"" and ""List of temples in Lahore"" (with cited sources)."
SF1A846	field survey	1	Shrines Project field survey, Darbar Abul Muali Qadri (surveyor: Saifullah), 23 July 2026.
S5FD79D	field survey	1	Shrines Project field survey, Darbar Ghazi Ilm Din Shaheed responses (surveyor: Saifullah), 2026.
SBC65B6	field survey	1	Shrines Project field survey, Darbar Hazrat Khawaja Feroz-ud-Din Gharib Nawaz Chishti Nizami responses (surveyor: Saifullah), 2026.
SBB53AB	field survey	1	Shrines Project field survey, Darbar Hazrat Shah Gohar Peer (surveyor: Saifullah), 14 July
S10AA12	field survey	1	Shrines Project field survey, Darbar Hazrat Tahir Bandagi Qadri Naqshbandi Mujaddidi responses (surveyor: Saifullah), 2026.
S401A68	field survey	1	Shrines Project field survey, Darbar Malik Ahmad Ayaz (surveyor: Saifullah), 29 July 2026.
S617D15	field survey	1	Shrines Project field survey, Darbar Mian Qurban Ali Shah (surveyor: Saifullah), 14 July 2026.
S33D794	field survey	1	Shrines Project field survey, Darbar Wasif Ali Wasif responses (surveyor: Saifullah), 2026.
S7F6CA7	field survey	1	Shrines Project field survey, Data Darbar responses (surveyor: Saifullah Imtiaz), 2026.
S3FA6E9	field survey	1	Shrines Project field survey, Darbar Abul Faiz Qalandari responses (surveyor: Saifullah), 2026.
SBCF076	field survey	1	Shrines Project field survey, Bibi Pak Daman responses (surveyor: Saifullah Imtiaz), 2026.
S1DCDC2	field survey	1	Shrines Project field survey, Darbar Ganj-e-Inayat Sarkar responses (surveyor: Saifullah Imtiaz), 2026.
S8C7670	field survey	1	Shrines Project field survey, Darbar Madho Lal Hussain responses (surveyor: Saifullah), 2026.
SB54805	field survey	1	Shrines Project field survey, Mian Mir responses (surveyor: Muhammad Rizwan), 2026.
S30AF68	field survey	1	Shrines Project field survey, Shrine of Shah Inayat Qadiri responses (surveyor: Saifullah), 2026.
S678A91	field survey	1	Shrines Project field survey, Mazar-e-Iqbal responses (surveyor: Saifullah Imtiaz), 2026.
S8691FC	gazetteer	1	*Rawalpindi District Gazetteer* (Punjab Government, colonial-era editions), for the topography and religious life of the old city.
SFE070B	gazetteer	1	District Gazetteer of Rawalpindi (Punjab Government gazetteer series), for the local history and topography of the Rawalpindi district.
S3AE8B6	gazetteer	1	Sikh pilgrimage literature and gazetteer references to the Mozang gurdwara and the Mata Kaulan tradition.
SDCD31D	gazetteer	1	Gazetteer and heritage-survey references to the Walled City's Sikh-era sites.
SB5E321	gazetteer	1	Punjab district gazetteers for the Chiniot / Jhang region.
S3747C4	gazetteer	1	Colonial-era accounts of the 1848 Siege of Multan and *Multan District Gazetteer* notices of the fort and its shrines.
S7027C2	gazetteer	1	Gazetteer of the Shahpur District (the historic district encompassing Bhalwal and Sargodha), Punjab Government.
SB3F9D5	gazetteer	1	Regional gazetteer material on the cult of Ramdev Pir and Ramdevra.
SD2B033	gazetteer	1	Punjab district gazetteer material for the Okara / Depalpur region.
SB02989	gazetteer	1	A. C. Elliott, *The Chronicles of Gujrat*, and the District Gazetteer of Gujrat, for local history.
SECCBD2	gazetteer	1	District Gazetteer of Sialkot (Punjab Government gazetteer series), for the local history and topography of the city and its shrines.
S32A0F9	gazetteer	1	Sindh Exploration and Adventure Society / EFT Sindh, *Heritage Sites of Sindh: District Jamshoro* (gazetteer of the district's shrines and monuments).
S8687F7	gazetteer	1	*Jhelum District Gazetteer* and Salt Range surveys, for the monastic complex and its context.
S14AD6F	gazetteer	1	*Gazetteer of the Peshawar District* (colonial-era editions), for the villages and shrines around Peshawar.
S4D68D5	monograph	1	"Gulnaz Khan (photographs by Matthieu Paley), ""Hindu Pilgrimage in Pakistan,"" *National Geographic*, 10 January 2019."
S3E9019	monograph	1	Sindh High Court judgment (October 2023) on the protection of the Karoonjhar mountains.
SFD164C	monograph	1	"Pnina Werbner, ""Transnationalism and Regional Cults: The Dialectics of Sufism in the Plurivocal Muslim World"" (conference paper, Keele University, May 2009)."
SBE56F0	monograph	1	Pnina Werbner, *Pilgrims of Love: The Anthropology of a Global Sufi Cult* (Hurst, 2004; Indiana University Press ed., 2016).
S844147	monograph	1	Michel Boivin, *South Asian Sufis: Devotion, Deviation, and Destiny* (London: Bloomsbury, 2012).
S60F19C	monograph	1	"Michel Boivin, ""At the Crossroads of Sufism and Vedanta: The Building of an Interfaith Dialogue in Colonial and Post-Colonial Sindh and Beyond,"" in Naveed Ahmad Tahir (ed.), *The Issue of Religious Harmony in Europe, South Asia and the Middle East* (Karachi: Area Study Centre for Europe, 2015)."
SC78ACE	monograph	1	Press coverage of the 2011 reopening of the temple following the Peshawar High Court ruling.
SD4FE4F	monograph	1	Henry Cousens, *The Antiquities of Sind, with Historical Outline* (Calcutta: Government of India Central Publication Branch, 1929).
S104072	monograph	1	Iqbal Qaiser, *Historical Sikh Shrines in Pakistan* (Lahore: Punjabi History Board, 1998), p. 218.
S5E24D5	monograph	1	Iqbal Qaiser, *Historical Sikh Shrines in Pakistan* (Punjabi History Board, 1998), p. 56.
S123EEB	monograph	1	Iqbal Qaiser, *Historical Sikh Shrines in Pakistan* (Punjabi History Board, 1998), p. 228.
S618E19	monograph	1	Iqbal Qaiser, *Historical Sikh Shrines in Pakistan* (Punjabi History Board, 1998), pp. 276, 278.
S35E1E4	monograph	1	Records of Sardar Mehar Singh's 1926 reconstruction, as preserved in Sikh heritage surveys of Lahore.
S7A465E	monograph	1	Iqbal Qaiser, *Historical Sikh Shrines in Pakistan* (Punjabi History Board, 1998), p. 178.
S10FF3E	monograph	1	"""72 years after Partition, Pak opens Gurdwara Choa Sahib for Sikh devotees,"" *The Tribune* (Chandigarh), 2 August 2019."
SD64235	monograph	1	W. H. McLeod, *Gurū Nānak and the Sikh Religion* (Oxford University Press), on the historical Nanak and the Kartarpur period.
S8C9A0F	monograph	1	Khushwant Singh, *A History of the Sikhs* (Oxford University Press).
SB0B583	monograph	1	Iqbal Qaiser, *Historical Sikh Shrines in Pakistan* (Punjabi History Board, 1998), pp. 58-60.
S26B09A	monograph	1	"District Gujranwala, Government of Punjab, ""Important Places,"" official district website, accessed 16 August 2026."
S4F1CCA	monograph	1	Khushwant Singh, *A History of the Sikhs* (Oxford University Press), for the life of Guru Nanak and the northern journeys.
SF76596	monograph	1	Mohinder Singh, *The Akali Movement*, and contemporary records of the Gurdwara Reform Movement, on the *Saka* Panja Sahib of 1922.
SD09E5E	monograph	1	Iqbal Qaiser, *Historical Sikh Shrines in Pakistan* (Lahore: Punjabi History Board, 1998), p. 283–284.
S7491AE	monograph	1	Iqbal Qaiser, *Historical Sikh Shrines in Pakistan* (Lahore: Punjabi History Board, 1998), p. 120.
S6B3943	monograph	1	"Alice Albinia, ""Life Around The Indus: Tracing River Worship In Sindh,"" *Outlook Traveller*, 30 September 2014."
S486A54	monograph	1	"Fenech, Louis E. *Martyrdom in the Sikh Tradition: Playing the ""Game of Love""*. Oxford University Press."
SC50A3F	monograph	1	Hari Ram Gupta, *History of the Sikhs*, vol. II: *Evolution of Sikh Confederacies* (Munshiram Manoharlal).
SF61DC4	monograph	1	Khushwant Singh, *A History of the Sikhs*, vol. I (Oxford University Press).
SD95CEE	monograph	1	Iqbal Qaiser, *Historical Sikh Shrines in Pakistan* (Lahore: Punjabi History Board, 1998), p. 134.
S5A1F12	monograph	1	Khushwant Singh, *A History of the Sikhs* (Oxford University Press), for the life of Guru Nanak and the origins of the Panth.
S66AFFC	monograph	1	Ruchi Ram Sahni, *Struggle for Reform in Sikh Shrines*, and Mohinder Singh, *The Akali Movement*, on the Gurdwara Reform Movement and the 1921 massacre.
S468CE8	monograph	1	Community and press accounts of Hindu temple grants in Sialkot under the Pervaiz Elahi provincial government (2007) and subsequent renovation (2017).
SEAE324	monograph	1	"Muhammad Asif Nawaz, ""Story of the Jain Mandir,"" *Youlin Magazine*, 20 July 2022."
S6C8417	monograph	1	Udero Lal Research Project, field documentation of Karachi's Jhulelal temples — Jodia Bazaar and Custom House sites (2016).
S0CC5F9	monograph	1	Denys Bray, *Ethnographic Survey of Baluchistan*, Vol. 2 (Bombay: The Times Press, 1913).
S67E686	monograph	1	Reema Abbasi, *Historic Temples in Pakistan: A Call to Conscience* (Niyogi Books), for the temples of the north-west.
S15F331	monograph	1	H. T. Lambrick, *Sindh: A General Introduction* (Sindhi Adabi Board), on Aror and the historical geography of the Rohri region.
SC51008	monograph	1	"""Temple dedicated to Lord Ram's son restored, opens for public in Pakistan's Lahore,"" PTI, *The Tribune* (Chandigarh), 27 January 2026."
SEF1D37	monograph	1	"""German Ambassador visits madrassa in Mohra Sharif,"" *Islamabad Post*, 13 January 2026."
S33B127	monograph	1	"""Guide to Mohra Sharif,"" mohrasharif.com, accessed 16 August 2026."
SB0EED3	monograph	1	Dominique-Sila Khan, *Conversions and Shifting Identities: Ramdev Pir and the Ismailis in Rajasthan* (Manohar).
S89B199	monograph	1	"Directorate General of Archaeology, Government of Punjab, ""Religious Monuments"" (online monument index), accessed 16 August 2026."
SB93F9F	monograph	1	"""Bhagat Kanwar remembered,"" *The Nation*, 2 November 2016."
S339273	monograph	1	"Zulfiqar Ali Kalhoro, ""Shikarpur's Sant Satram Dham,"" *Youlin Magazine*, 14 October 2024."
S8E758C	monograph	1	Reema Abbasi, *Historic Temples in Pakistan: A Call to Conscience* (Niyogi Books), for Karachi's Hindu shrines.
S5ED67E	monograph	1	Lutgendorf, Philip. *Hanuman's Tale: The Messages of a Divine Monkey*. Oxford University Press.
SE5DCD0	monograph	1	Sindh Cultural Heritage (Preservation) Act 1994 and related heritage listings.
SCB74FD	monograph	1	Williams, Raymond Brady. *An Introduction to Swaminarayan Hinduism*. Cambridge University Press.
S56CDD4	monograph	1	Markovits, Claude. *The Global World of Indian Merchants, 1750–1947*. Cambridge University Press.
SD64970	monograph	1	"Chughtai (Public) Library Digital Library, ""Historic Monuments of Lahore — Mughal Period — Shrine of Hazrat Shah Kamal,"" https://www.chughtailibrary.com/digital_library/place_detail.php?plc_id=35, accessed 16 August 2026."
S2EE004	monograph	1	Pir Ghulam Dastgir Nami, *Bibian-e-Pak Daman* (Lahore: Idara Ma‘arif Nomania; first published 1372 AH / 1953).
S58544B	monograph	1	"Directorate General of Archaeology, Government of Punjab, ""Tomb of Shah Ali Akbar & His Mother, Multan,"" https://archaeology.punjab.gov.pk/tomb_shahaliakbar, accessed 16 August 2026."
S5080DD	monograph	1	Katherine Pratt Ewing, *Arguing Sainthood: Modernity, Psychoanalysis, and Islam* (Duke University Press), on the shrine and its administration.
SDAF619	monograph	1	Ansari, Sarah F. D. *Sufi Saints and State Power: The Pirs of Sindh, 1843–1947.* Cambridge University Press, 1992.
S8B60A9	monograph	1	Schimmel, Annemarie. *Pearls from the Indus: Studies in Sindhi Culture.* Jamshoro: Sindhi Adabi Board, 1986.
S3B5B64	monograph	1	Boivin, Michel. *Historical Dictionary of the Sufi Culture of Sindh in Pakistan and India.* Karachi: Oxford University Press, 2015.
SE48501	monograph	1	Gyani Brahma Singh ‘Brahma’, *Hazrat Mian Mir and the Sufi Tradition* (Patiala: Publication Bureau, Punjabi University, 1994).
S320FF7	monograph	1	Komal Butter, “Emotions and Miracles: Folktales of the Mian Mir Shrine in Nineteenth-Century Lahore,” *Journal of the Punjab University Historical Society* 38:2 (2025).
S5FC3B2	monograph	1	Muhammad Iqbal, *Kulliyat-e-Iqbal (Urdu)* — including *Bang-e-Dara* (1924), *Bal-e-Jibril* (1935), and *Zarb-e-Kalim* (1936).
S158C30	monograph	1	For life and dates, standard biographies of Iqbal (the 2026 field survey preserves some variant dates, noted above).
S3FE981	monograph	1	"Dr Syed Talha Shah, ""Qutbuddin Aibak: The forgotten tomb of a slave sultan,"" *Daily Times*, 23 December 2018."
SECF909	monograph	1	"Nusrat Bibi, ""The Land of Saints Uch Sharif"" [section: ""Ustad Nuriya Tomb Monument Complex""], *International Journal of Scientific and Research Publications*, Vol. 11, Issue 10 (October 2021), p. 282."
