name	source_id	type	citation
Gurdas Ram Mandir	S5BEDF0	unclassified	Zulfiqar Ali Kalhoro, published writing on Sindh's Nanakpanthi saints, including the distinct Bhai Gurdas of Shikarpur (for contrast only).
Gurdas Ram Mandir	S9E340E	encyclopaedia	"Wikipedia, ""List of Hindu temples in Pakistan."""
Gurdwara Babay De Ber	S3002D0	primary text	The *Janamsakhi* traditions of Guru Nanak's visit to Sialkot and his meeting with Hamza Ghaus.
Gurdwara Babay De Ber	SAD4929	unclassified	Pakistan Sikh Gurdwara Parbandhak Committee accounts of the historic gurdwaras of the Punjab.
Gurdwara Babay De Ber	SB44303	press	Reporting in *Dawn* and the Sikh press on the reopening and restoration of the Sialkot gurdwara (c. 2012–2019).
Gurdwara Babay De Ber	SDF67E7	unclassified	"""Gurdwara Beri Sahib"" (Babe di Ber), Sialkot, in Sikh reference works and heritage listings."
Gurdwara Babay Nanki	S4FF09D	monograph	Max Arthur Macauliffe, *The Sikh Religion: Its Gurus, Sacred Writings and Authors* (Oxford, 1909).
Gurdwara Babay Nanki	SA100DF	monograph	Iqbal Qaiser, *Historical Sikh Shrines in Pakistan* (Lahore: Punjabi History Board, 1998).
Gurdwara Babay Nanki	SE863B8	encyclopaedia	SikhiWiki and Discover Sikhism, entries on Bebe Nanaki and Gurdwara Janamasthan Bebe Nanaki, Dera Chahal.
Gurdwara Babay Nanki	SE90A11	monograph	W. H. McLeod, *Guru Nanak and the Sikh Religion* (Oxford University Press, 1968).
Gurdwara Balila Sahib (Bal Lila Sahib)	S128C29	encyclopaedia	Harbans Singh (ed.), *The Encyclopaedia of Sikhism* (Punjabi University, Patiala).
Gurdwara Balila Sahib (Bal Lila Sahib)	S158C4B	book	Patwant Singh, *The Sikhs* (Knopf/Doubleday).
Gurdwara Balila Sahib (Bal Lila Sahib)	S4FF09D	monograph	Max Arthur Macauliffe, *The Sikh Religion: Its Gurus, Sacred Writings and Authors* (Oxford, 1909).
Gurdwara Balila Sahib (Bal Lila Sahib)	S96475B	book	Surinder Singh Johar, *Guru Nanak: A Biography*.
Gurdwara Balila Sahib (Bal Lila Sahib)	SE90A11	monograph	W. H. McLeod, *Guru Nanak and the Sikh Religion* (Oxford University Press).
Gurdwara Bhai Beba Singh	S4D42A5	encyclopaedia	SikhiWiki and Discover Sikhism, entries on the gurdwaras of Peshawar.
Gurdwara Bhai Beba Singh	S915C26	register	Reports of the Evacuee Trust Property Board, Government of Pakistan.
Gurdwara Bhai Beba Singh	SA100DF	monograph	Iqbal Qaiser, *Historical Sikh Shrines in Pakistan* (Lahore: Punjabi History Board, 1998).
Gurdwara Bhai Beba Singh	SF5C680	press	Contemporary press coverage of the 2016 reopening (*The Express Tribune*, *Scroll.in*, SBS).
Gurdwara Bhai Joga Singh	S492E57	press	Reporting (e.g. *Scroll.in*) on the reopening and present life of Peshawar's gurdwaras.
Gurdwara Bhai Joga Singh	S93D32B	unclassified	"""Bhai Joga Singh"" and ""Gurdwara Bhai Joga Singh (Peshawar),"" in Sikh reference works and encyclopaedias."
Gurdwara Bhai Joga Singh	S9D6065	unclassified	Traditional accounts of Bhai Joga Singh in the *Sikh* devotional literature of the era of Guru Gobind Singh.
Gurdwara Bhai Joga Singh	SCEEBB7	unclassified	Histories of Hari Singh Nalwa and Sikh rule in Peshawar and the frontier.
Gurdwara Chhevin Patshahi, Mozang	S35E1E4	monograph	Records of Sardar Mehar Singh's 1926 reconstruction, as preserved in Sikh heritage surveys of Lahore.
Gurdwara Chhevin Patshahi, Mozang	S3AE8B6	gazetteer	Sikh pilgrimage literature and gazetteer references to the Mozang gurdwara and the Mata Kaulan tradition.
Gurdwara Chowmala Sahib	SBF8A4B	encyclopaedia	SikhiWiki and Sikh pilgrimage literature on the Guru Hargobind gurdwaras of Lahore.
Gurdwara Chowmala Sahib	SDCD31D	gazetteer	Gazetteer and heritage-survey references to the Walled City's Sikh-era sites.
Gurdwara Darbar Sahib Kartarpur	S2700AE	register	UNESCO and international press coverage of the Kartarpur Corridor and its inauguration for Guru Nanak's 550th *Prakash Utsav* (2019).
Gurdwara Darbar Sahib Kartarpur	S568CCF	book	Khushwant Singh, *A History of the Sikhs*, for the founding of the community and the succession of Guru Angad.
Gurdwara Darbar Sahib Kartarpur	S838B03	book	Iqbal Qaiser, *Historical Sikh Shrines in Pakistan*, on the shrine and its history by the Ravi.
Gurdwara Darbar Sahib Kartarpur	SD64235	monograph	W. H. McLeod, *Gurū Nānak and the Sikh Religion* (Oxford University Press), on the historical Nanak and the Kartarpur period.
Gurdwara Darbar Sahib Kartarpur	SEB786D	primary text	The *Puratan Janamsakhi* and allied *Janamsakhi* traditions preserving the account of the Guru's passing.
Gurdwara Dash Mesh Pita	S28E9E0	encyclopaedia	"SikhiWiki, ""Gurdwara Pehli Patshahi (Jind Pir)"" (for contrast with Sukkur's better-documented gurdwaras)."
Gurdwara Dash Mesh Pita	S475079	register	Evacuee Trust Property Board (Pakistan), Functional Gurdwaras register.
Gurdwara Dash Mesh Pita	S47F137	encyclopaedia	"AllAboutSikhs, ""Gurudwara Sadhu Bela, Sukkur"" (for contrast)."
Gurdwara Dera Sahib	S0DB426	register	Records of the Evacuee Trust Property Board (ETPB) and heritage documentation of the Lahore Fort and Badshahi Mosque ensemble.
Gurdwara Dera Sahib	S26DD8C	book	Iqbal Qaiser, *Historical Sikh Shrines in Pakistan*, on the shrine at Lahore and its setting among the city's monuments.
Gurdwara Dera Sahib	S3717E8	primary text	The *Tuzuk-i-Jahangiri* (memoirs of the Emperor Jahangir), a primary source for the imperial order against Guru Arjan.
Gurdwara Dera Sahib	S7325CB	primary text	Pashaura Singh, *The Life and Work of Guru Arjan* (Oxford University Press), on the fifth Guru, the compilation of the *Adi Granth*, and the martyrdom.
Gurdwara Dera Sahib	S8D6C9A	book	Khushwant Singh, *A History of the Sikhs*, and Max Arthur Macauliffe, *The Sikh Religion*, on Guru Arjan and its aftermath under Guru Hargobind.
Gurdwara Guru Ram Das Ji	S128C29	encyclopaedia	Harbans Singh (ed.), *The Encyclopaedia of Sikhism* (Punjabi University, Patiala).
Gurdwara Guru Ram Das Ji	S158C4B	book	Patwant Singh, *The Sikhs* (Knopf/Doubleday).
Gurdwara Guru Ram Das Ji	S4FF09D	monograph	Max Arthur Macauliffe, *The Sikh Religion: Its Gurus, Sacred Writings and Authors* (Oxford, 1909).
Gurdwara Guru Ram Das Ji	S8C9A0F	monograph	Khushwant Singh, *A History of the Sikhs* (Oxford University Press).
Gurdwara Guru Ram Das Ji	SB1688E	unclassified	Studies of the Walled City of Lahore by the Aga Khan Trust for Culture and the Walled City of Lahore Authority.
Gurdwara Panja Sahib	S3169A6	primary text	Max Arthur Macauliffe, *The Sikh Religion: Its Gurus, Sacred Writings and Authors* (1909), and the *Janamsakhi* accounts of Guru Nanak's *udasis*.
Gurdwara Panja Sahib	S4F1CCA	monograph	Khushwant Singh, *A History of the Sikhs* (Oxford University Press), for the life of Guru Nanak and the northern journeys.
Gurdwara Panja Sahib	S5BFECE	book	Iqbal Qaiser, *Historical Sikh Shrines in Pakistan*, on the shrine at Hasan Abdal and its history.
Gurdwara Panja Sahib	S6B8331	register	Records of the Evacuee Trust Property Board (ETPB) and press coverage of the Baisakhi pilgrimages to Panja Sahib.
Gurdwara Panja Sahib	SF76596	monograph	Mohinder Singh, *The Akali Movement*, and contemporary records of the Gurdwara Reform Movement, on the *Saka* Panja Sahib of 1922.
Gurdwara Panjvi Chati Patshahi	S17F6F2	unclassified	Accounts of Guru Hargobind's return from Kashmir and his visit to Nankana Sahib (Samvat 1670 / 1613 CE).
Gurdwara Panjvi Chati Patshahi	S271879	register	Shiromani Gurdwara Parbandhak Committee and Evacuee Trust Property Board listings of the Nankana gurdwaras.
Gurdwara Panjvi Chati Patshahi	S2A15F4	unclassified	Pilgrimage guides to the historic gurdwaras of Nankana Sahib.
Gurdwara Panjvi Chati Patshahi	S9046EB	encyclopaedia	"""Nankana Sahib,"" in *The Encyclopaedia of Sikhism* (Harbans Singh, ed.) and Sikh reference works, for the shrines of the fifth and sixth Gurus."
Gurdwara Patti Sahib	S3178AD	primary text	The *Janamsakhi* accounts of Guru Nanak's schooling at Rai Bhoi di Talwandi.
Gurdwara Patti Sahib	S953C6A	encyclopaedia	"""Gurdwara Patti Sahib"" and ""Nankana Sahib,"" in *The Encyclopaedia of Sikhism* (Harbans Singh, ed.) and Sikh reference works."
Gurdwara Patti Sahib	SC5D556	primary text	Guru Nanak, *Patti Likhi*, in *Rag Asa*, *Guru Granth Sahib*.
Gurdwara Patti Sahib	SD9060B	unclassified	Pakistan Sikh Gurdwara Parbandhak Committee and pilgrimage guides to the shrines of Nankana Sahib.
Gurdwara Rori Sahib	S0D0FD2	register	Government of Pakistan, Evacuee Trust Property Board, records on Sikh heritage gurdwaras.
Gurdwara Rori Sahib	S1E830A	monograph	Macauliffe, Max Arthur. *The Sikh Religion: Its Gurus, Sacred Writings and Authors*. Oxford: Clarendon Press.
Gurdwara Rori Sahib	S7014E9	encyclopaedia	Singh, Harbans (ed.). *The Encyclopaedia of Sikhism*. Patiala: Punjabi University.
Gurdwara Rori Sahib	S7515D3	primary text	*The Janamsakhi Tradition* (traditional biographies of Guru Nanak).
Gurdwara Rori Sahib	SD4BE7E	monograph	Singh, Khushwant. *A History of the Sikhs*, Vol. 1. Oxford University Press.
Gurdwara Sach Khand Sahib	S111DF6	press	Asia Samachar, coverage of the March 2017 All Sindh Balochistan Gurdwara Management Committee meeting, Kandhkot.
Gurdwara Sach Khand Sahib	S475079	register	Evacuee Trust Property Board (Pakistan), Functional Gurdwaras register.
Gurdwara Sach Khand Sahib	S8EC761	press	"SikhNet, ""Guru Nanak in Shikarpur, Sindh"" (news report)."
Gurdwara Sach Khand Sahib	SEDB2DB	encyclopaedia	"DiscoverSikhism, ""Gurdwara Sri Guru Nanak Sahib, Shikarpur."""
Gurdwara Sacha Sauda	S1E830A	monograph	Macauliffe, Max Arthur. *The Sikh Religion: Its Gurus, Sacred Writings and Authors*. Oxford: Clarendon Press.
Gurdwara Sacha Sauda	S7014E9	encyclopaedia	Singh, Harbans (ed.). *The Encyclopaedia of Sikhism*. Patiala: Punjabi University.
Gurdwara Sacha Sauda	S7515D3	primary text	*The Janamsakhi Tradition* (traditional biographies of Guru Nanak).
Gurdwara Sacha Sauda	S9071F2	book	Singh, Nikky-Guninder Kaur. *Sikhism: An Introduction*. I. B. Tauris.
Gurdwara Sacha Sauda	SD4BE7E	monograph	Singh, Khushwant. *A History of the Sikhs*, Vol. 1. Oxford University Press.
Gurdwara Shaheed Bhai Taru Singh	S486A54	monograph	"Fenech, Louis E. *Martyrdom in the Sikh Tradition: Playing the ""Game of Love""*. Oxford University Press."
Gurdwara Shaheed Bhai Taru Singh	S7014E9	encyclopaedia	Singh, Harbans (ed.). *The Encyclopaedia of Sikhism*. Patiala: Punjabi University.
Gurdwara Shaheed Bhai Taru Singh	S846AC3	book	Gandhi, Surjit Singh. *History of Sikh Gurus Retold*.
Gurdwara Shaheed Bhai Taru Singh	SD4BE7E	monograph	Singh, Khushwant. *A History of the Sikhs*, Vol. 1. Oxford University Press.
Gurdwara Shaheed Bhai Taru Singh	SEC35C5	book	Singh, Ganda. *Sardar Jassa Singh Ahluwalia* and related studies on the eighteenth-century Sikh struggle.
Gurdwara Shaheed Ganj Singh Singhnian	SA100DF	monograph	Iqbal Qaiser, *Historical Sikh Shrines in Pakistan* (Lahore: Punjabi History Board, 1998).
Gurdwara Shaheed Ganj Singh Singhnian	SC50A3F	monograph	Hari Ram Gupta, *History of the Sikhs*, vol. II: *Evolution of Sikh Confederacies* (Munshiram Manoharlal).
Gurdwara Shaheed Ganj Singh Singhnian	SF61DC4	monograph	Khushwant Singh, *A History of the Sikhs*, vol. I (Oxford University Press).
Gurdwara Shaheed Ganj Singh Singhnian	SF715ED	register	Shiromani Gurdwara Parbandhak Committee and SikhiWiki, entries on Gurdwara Shahid Ganj Singhnian, Lahore.
Gurdwara Singh Sabha	S1EC592	press	"*Bolan Voice*, ""Historical background of the Sikh community in Balochistan province""."
Gurdwara Singh Sabha	S4D4B53	unclassified	World Gurudwaras, entry on Gurdwara Sri Guru Singh Sabha, Quetta.
Gurdwara Singh Sabha	S51B3AE	encyclopaedia	"Wikipedia, ""Sikhism in Pakistan"" (with cited sources)."
Gurdwara Singh Sabha	S778C00	press	"*Dawn*, ""73 years on, gurdwara restored to Sikhs in Quetta"" (2020) and ""A gurdwara worth the seven-decade wait""."
Gurdwara Sri Kiara Sahib	S2AF6C7	encyclopaedia	"""Nankana Sahib"" and ""Gurdwara Kiara Sahib,"" in *The Encyclopaedia of Sikhism* (Harbans Singh, ed.) and Sikh reference works."
Gurdwara Sri Kiara Sahib	S5AE671	register	Shiromani Gurdwara Parbandhak Committee and Pakistan Sikh Gurdwara Parbandhak Committee accounts of the Nankana Sahib shrines.
Gurdwara Sri Kiara Sahib	S891F6D	unclassified	"Histories of Sant Gurmukh Singh ""Sevavale"" and the pre-Partition rebuilding of Sikh gurdwaras."
Gurdwara Sri Kiara Sahib	SAC4CE5	primary text	The *Janamsakhi* traditions of Guru Nanak's childhood at Rai Bhoi di Talwandi.
Gurdwara Tambo Sahib	S2A15F4	unclassified	Pilgrimage guides to the historic gurdwaras of Nankana Sahib.
Gurdwara Tambo Sahib	S86FCA7	primary text	"The *Janamsakhi* traditions of the *sacha sauda* (the ""true bargain"") and Guru Nanak's boyhood."
Gurdwara Tambo Sahib	S8CD1BF	register	Shiromani Gurdwara Parbandhak Committee and Pakistan Sikh Gurdwara Parbandhak Committee accounts of the Nankana shrines.
Gurdwara Tambo Sahib	SE9B846	encyclopaedia	"""Gurdwara Tambu Sahib"" and ""Nankana Sahib,"" in *The Encyclopaedia of Sikhism* (Harbans Singh, ed.) and Sikh reference works."
Guru Gurpat Mandir (DB-80 Sirey Ghat)	S4BC13D	register	Evacuee Trust Property Board (Pakistan), Functional Mandirs register.
Guru Gurpat Mandir (DB-80 Sirey Ghat)	SD3D784	press	"The Friday Times, ""At The Darbar Of Baba Gurpat Sahib In Hyderabad"" (26 January 2025)."
Gurudwara Janam Asthan Nankana Sahib	S375F96	book	Iqbal Qaiser, *Historical Sikh Shrines in Pakistan*, a survey of the gurdwaras on the Pakistani side of Punjab.
Gurudwara Janam Asthan Nankana Sahib	S535FB0	register	Records of the Evacuee Trust Property Board (ETPB) and Government of Punjab heritage listings, together with press coverage of the annual Gurpurab pilgrimages.
Gurudwara Janam Asthan Nankana Sahib	S5A1F12	monograph	Khushwant Singh, *A History of the Sikhs* (Oxford University Press), for the life of Guru Nanak and the origins of the Panth.
Gurudwara Janam Asthan Nankana Sahib	S64014D	primary text	Max Arthur Macauliffe, *The Sikh Religion: Its Gurus, Sacred Writings and Authors* (1909), and the *Janamsakhi* traditions preserving the birth narratives.
Gurudwara Janam Asthan Nankana Sahib	S66AFFC	monograph	Ruchi Ram Sahni, *Struggle for Reform in Sikh Shrines*, and Mohinder Singh, *The Akali Movement*, on the Gurdwara Reform Movement and the 1921 massacre.
Jagannath Temple, Sialkot	S3BB234	encyclopaedia	"Wikipedia, ""Shivala Teja Singh temple,"" for contrast; the redirect from ""Jagannath Temple, Sialkot"" reflects an unresolved identification, not a confirmed identity between the two sites."
Jagannath Temple, Sialkot	S4592A6	press	"Odishabytes, ""There's a Jagannath Temple in Pakistan (and Bangladesh) too."""
Jagannath Temple, Sialkot	S468CE8	monograph	Community and press accounts of Hindu temple grants in Sialkot under the Pervaiz Elahi provincial government (2007) and subsequent renovation (2017).
Jhollay Lal Mandir	S2FFA29	encyclopaedia	"Wikipedia, ""Darya Lal Mandir,"" for contrast with the Custom House site."
Jhollay Lal Mandir	S6C8417	monograph	Udero Lal Research Project, field documentation of Karachi's Jhulelal temples — Jodia Bazaar and Custom House sites (2016).
Kalat Kali Temple	S3F5C1F	unclassified	Local and regional press coverage of the annual Kalat Kali festival.
Kalat Kali Temple	SAE1571	encyclopaedia	"Wikipedia, ""Kali Temple, Kalat."""
Kali Bari Mandir	S05E7E0	register	Reports of the Evacuee Trust Property Board on Hindu shrines in Khyber Pakhtunkhwa.
Kali Bari Mandir	S313E25	press	*The Express Tribune*, features on the surviving Hindu temples of Peshawar.
Kali Bari Mandir	S67E686	monograph	Reema Abbasi, *Historic Temples in Pakistan: A Call to Conscience* (Niyogi Books), for the temples of the north-west.
Kali Bari Mandir	S8E3888	encyclopaedia	"Wikipedia, ""Kalibari Mandir, Peshawar"" and ""List of Hindu temples in Pakistan"" (with cited sources)."
Kalka Cave Temple (Asthan of Kalka Devi)	S15F331	monograph	H. T. Lambrick, *Sindh: A General Introduction* (Sindhi Adabi Board), on Aror and the historical geography of the Rohri region.
Kalka Cave Temple (Asthan of Kalka Devi)	S245FE6	encyclopaedia	"Wikipedia, ""Kalka Cave Temple"" and ""Aror (Alor)"" (with cited sources)."
Kalka Cave Temple (Asthan of Kalka Devi)	SB04486	unclassified	"Endowment Fund Trust for Preservation of the Heritage of Sindh, ""Heritage of Sindh"" documentation."
Kalka Cave Temple (Asthan of Kalka Devi)	SC5CAE0	press	*The Friday Times* and *The Express Tribune*, features on the Kalka Devi Temple, Rohri.
Katas Raj Temples	S5EC735	unclassified	Subhash Parihar and regional studies on the Hindu Shahi temple architecture of the Salt Range.
Katas Raj Temples	SA5BC0F	book	Alexander Cunningham, *Archaeological Survey of India Reports* (survey of the Salt Range and Katas, 1872–73).
Katas Raj Temples	SCBD818	press	Press and heritage coverage of the 2005 restoration and the Supreme Court proceedings on the Katas pond (Dawn; Scroll.in).
Katas Raj Temples	SE962C1	primary text	The *Mahabharata* and Puranic *tirtha* literature for the Shiva and Pandava traditions.
Katas Raj Temples	SEC24C6	primary text	Xuanzang (Hiuen Tsang), *Records of the Western Regions* (Si-Yu-Ki), for the early Buddhist presence.
Krishna Mandir (Kabari Bazar)	S3674E3	register	Records of the Evacuee Trust Property Board, Government of Pakistan.
Krishna Mandir (Kabari Bazar)	S3EBAFD	unclassified	Heritage surveys of Rawalpindi's colonial-era architecture.
Krishna Mandir (Kabari Bazar)	S55F9BE	press	*Dawn* and *The Express Tribune*, features on the Krishna Temple, Rawalpindi, and the temples of the twin cities.
Krishna Mandir (Kabari Bazar)	SE419A8	encyclopaedia	"Wikipedia, ""Krishna Temple, Rawalpindi"" (with cited press sources)."
Krishna Mandir (Ravi Road)	S3674E3	register	Records of the Evacuee Trust Property Board, Government of Pakistan.
Krishna Mandir (Ravi Road)	S59E28D	press	*Dawn* (Prism) and *Scroll.in*, features on the fate and spatial politics of Lahore's Hindu temples.
Krishna Mandir (Ravi Road)	SD62D18	unclassified	Hindu American Foundation and other reports on the condition of Lahore's temples.
Krishna Mandir (Ravi Road)	SDC37E1	encyclopaedia	"Wikipedia, ""Krishna Mandir, Lahore"" and ""List of temples in Lahore"" (with cited sources)."
Lal Shahbaz Qalandar	S2E7009	book	Verses attributed to Lal Shahbaz Qalandar and the traditional *Dama Dam Mast Qalandar* (quoted in standard published wording).
Lal Shahbaz Qalandar	S97322F	tazkira	Alam Faqri, *Tazkirah Awliya-e-Pakistan* (Lahore) — compendium of the saints of Pakistan.
